Id,Name
01tWs00000C0wwaIAB,PowerControl - Paralleling Switchgear
01tWs00000C0wxDIAR,FESBA Generator Set
01tWs00000C0wxeIAB,FESBA 900kW
01tWs00000C0wxfIAB,FESBA 1200kW
01tWs00000C0wxgIAB,FESBA 1500kW
01tWs00000C0wxhIAB,FESBA 1750kW
01tWs00000C0wxiIAB,FESBA 2500kW
01tWs00000C0wxjIAB,"220/380,3 Phase,Wye,4 Wire"
01tWs00000C0wxkIAB,"240/416,3 Phase,Wye,4 Wire"
01tWs00000C0wxlIAB,"255/440,3 Phase,Wye,4 Wire"
01tWs00000C0wxmIAB,"277/480,3 Phase,Wye,4 Wire"
01tWs00000C0wxnIAB,"347/600,3 Phase,Wye,4 Wire"
01tWs00000C0wxoIAB,"2400/4160,3 Phase,Wye,4Wire"
01tWs00000C0wxpIAB,"7200/12470,3 Ph,Wye,4 Wire"
01tWs00000C0wxqIAB,"7621/13200,3 Ph,Wye,4 Wire"
01tWs00000C0wxrIAB,"7976/13800,3 Ph,Wye,4 Wire"
01tWs00000C0wxsIAB,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm"
01tWs00000C0wxtIAB,"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C)"
01tWs00000C0wxuIAB,"ALT-60Hz,2400/4160V,125/105/80C (S/P/C)"
01tWs00000C0wxvIAB,"ALT-60Hz,Wye,12.47kV,105/80C (S/P)"
01tWs00000C0wxwIAB,"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb"
01tWs00000C0yWjIAJ,"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont"
01tWs00000C0yWkIAJ,"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm"
01tWs00000C0yWlIAJ,"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm"
01tWs00000C0yWmIAJ,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby"
01tWs00000C0yWnIAJ,"Alt-60Hz,347/600V,125/105/80C-SPC"
01tWs00000C0yWoIAJ,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm"
01tWs00000C0yWpIAJ,"Alternator-60Hz, 347/600Volt, 80C-Stby"
01tWs00000C0yWqIAJ,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby"
01tWs00000C0yWrIAJ,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm"
01tWs00000C0yWsIAJ,"Alternator-60Hz, Wye, 13.2-13.8kVolt, 80C-Stby"
01tWs00000C0yWtIAJ,"Alternator-60 Hz, Wye, 380 Volt, 80C-Stby"
01tWs00000C0yWuIAJ,"Alt-60Hz,Wye,440V,125-80C-SPC"
01tWs00000C0yWvIAJ,"Alternator-60 Hz, Wye, 440 Volt,105/80C-StbyPrm"
01tWs00000C0yWwIAJ,"Alternator-60Hz, Wye, 440 Volt,80C-Stby"
01tWs00000C0yWxIAJ,"Alt-60Hz,Wye,440V,150/125SP,40C amb"
01tWs00000C0yWyIAJ,"Alternator-60 Hz,Wye,240/416 Volt,105/80C-StbyPrm"
01tWs00000C0yWzIAJ,"Alt-60Hz, 3Phase, 480Volt, 125/105/80C-StbyPrmCont"
01tWs00000C0yX0IAJ,"Alternator-60Hz,3Phase,480Volt,150C-Stby,40C amb"
01tWs00000C0yX1IAJ,"Alternator-60Hz,3Phase,600Volt,150C-Stby,40C amb"
01tWs00000C0yX2IAJ,"Alt-60Hz,3Ph,277/480V,80C, Stby-Prime,IncrMtrStart"
