Id,Name,ParentProductId,ParentProduct.Name,ChildProductId,ChildProduct.Name,ChildProductClassificationId,ChildProductClassification.Name,ProductRelationshipTypeId,ProductRelationshipType.Name,Sequence
0dSWs000000jfBtMAI,PRC-000000285,01tWs00000C0wwaIAB,PowerControl - Paralleling Switchgear,,,11BWs00000NocWIMAZ,Switchgear Bay,0yoWs000001B9qcIAC,Bundle to Product Classification Component Relationship,1
0dSWs000000jfCOMAY,PRC-000000093,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWmIAJ,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,24
0dSWs000000jfCPMAY,PRC-000000095,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWnIAJ,"Alt-60Hz,347/600V,125/105/80C-SPC",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,25
0dSWs000000jfCQMAY,PRC-000000097,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWoIAJ,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,26
0dSWs000000jfCRMAY,PRC-000000099,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWpIAJ,"Alternator-60Hz, 347/600Volt, 80C-Stby",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,27
0dSWs000000jfCSMAY,PRC-000000055,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0wxeIAB,FESBA 900kW,,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,1
0dSWs000000jfCTMAY,PRC-000000101,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWqIAJ,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,28
0dSWs000000jfCUMAY,PRC-000000056,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0wxfIAB,FESBA 1200kW,,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,2
0dSWs000000jfCVMAY,PRC-000000103,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0yWrIAJ,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm",,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,29
0dSWs000000jfCWMAY,PRC-000000057,01tWs00000C0wxDIAR,FESBA Generator Set,01tWs00000C0wxgIAB,FESBA 1500kW,,,0yoWs000001B9qbIAC,Bundle to Bundle Component Relationship,3
