RLM_Learning_App_API_Name__c,RLM_Learning_Filter_Name__c,RLM_Learning_Identity__c,RLM_Learning_Link__c,Name,RLM_Learning_Object__c,RLM_Learning_Page_Name__c,RLM_Learning_Relationship_API_Name__c,RLM_Learning_Relative_Url__c,RLM_Learning_Setup_Page__c,RLM_Learning_Site_Name__c,RLM_Learning_Text_Value__c,RLM_Learning_Where_Condition__c,RecordType.$$DeveloperName$SobjectType,RLM_Learning_Page__r.Name,RLM_Learning_Section__r.Name
standard__IndustriesEpc,,PCM_APP_DYN_LINK,,PCM App,,,,,,,,,AppPage;RLM_Learning_DynamicLink__c,,
c__Learning_Home,,ACC_INFINITECH_DYN_LINK,,Account Name Infinitech,Account,,,,,,here,Name = 'Infinitech',RecordPage;RLM_Learning_DynamicLink__c,,
,,,https://help.salesforce.com/s/articleView?id=release-notes.rn_revenue.htm&release=262&type=5,Release Notes Summary,,,,,,,,,WebPage;RLM_Learning_DynamicLink__c,,
,,,https://help.salesforce.com/s/articleView?id=release-notes.rn_revenue.htm&release=262&type=5,Summer '26 Release Notes,,,,,,,,,WebPage;RLM_Learning_DynamicLink__c,,
,,PCM_Learn_DYN_LINK,,Product Catalog Management Get Started Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,Product Catalog Management Left Bottom Section
,,PCM_Validate_DYN_LINK,,PCM_Validate,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,PCM_Check Popup Section
,,PCM_LAUNCH_DYN_LINK,,PCM_LAUNCH_LINK,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,PCM_Launch Popup Section
,,PCM_EXPLORE_DYN_LINK,,PCM_Explore,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,PCM_Explore Popup Section
,,ProductConfig_Launch_DYN_LINK,,ProductConfig_Launch,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,ProductConfig_Launch Popup Section
,,ProductConfig_Learn_DYN_LINK,,ProductConfig_Learn,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,ProductConfig_Learn Popup Section
,,ProdConfig_Validate_DYN_LINK,,ProdConfig_ValidateSetup Popup,,,,,,,,,InAppPopup;RLM_Learning_DynamicLink__c,,ProductConfig_Validate
