Name,RLM_Learning_Size__c,RLM_Learning_Type__c
Rev-Pricebookentries,small,utility:price_book_entries
Rev-BundleConfig,small,utility:bundle_config
Rev-Currency,small,utility:currency
Rev-Taxrate,small,utility:tax_rate
Rev-Contractline,small,utility:contract_line_outcome_data
Rev-Productconsumed,small,utility:product_consumed_state
Rev-Alt,large,utility:bookmark_alt
Rev-Survey,small,utility:survey
Rev-ConnectedApps,small,utility:connected_apps
Rev-InsertTag,small,utility:insert_tag_field
Rev-Product,small,utility:product
Rev-Orders,small,utility:orders
Rev-Orchestrator,small,utility:orchestrator
Apps,small,utility:apps
Sparkles,small,utility:sparkles
Sparkle,small,utility:sparkles
Task,small,utility:task
Rev-Announcement,small,utility:announcement
People,small,utility:people
Gear,small,utility:settings
All,small,utility:all
Rev-People,small,utility:people
