$$RLM_Learning_Section__r.Name$RLM_Learning_Block__r.Name$RLM_Learning_Order_Sequence__c,RLM_Learning_Section__r.Name,RLM_Learning_Block__r.Name,RLM_Learning_Order_Sequence__c
Home Welcome;Home Welcome Block;1.0,Home Welcome,Home Welcome Block,1.0
Transaction Management Left Top Section;Transaction Management Solution Overview Block;1.0,Transaction Management Left Top Section,Transaction Management Solution Overview Block,1.0
DRO Left Top Section;DRO Solution Overview Block;1.0,DRO Left Top Section,DRO Solution Overview Block,1.0
Billing Left Top Section;Billing Solution Overview Block;1.0,Billing Left Top Section,Billing Solution Overview Block,1.0
Billing Right Section;Billing Learning Hub Block 1;1.0,Billing Right Section,Billing Learning Hub Block 1,1.0
Billing Right Section;Billing Learning Hub Block 3;3.0,Billing Right Section,Billing Learning Hub Block 3,3.0
Rate Management Left Top Section;Rate Management Solution Overview;1.0,Rate Management Left Top Section,Rate Management Solution Overview,1.0
Home Left Bottom;Salesforce Contracts Home Block;8.0,Home Left Bottom,Salesforce Contracts Home Block,8.0
Rate Management Right Section;Rate Management Learning Block 1;1.0,Rate Management Right Section,Rate Management Learning Block 1,1.0
Rate Management Right Section;Rate Management Learning Block 2;2.0,Rate Management Right Section,Rate Management Learning Block 2,2.0
Salesforce Contracts Left Top Section;Salesforce Contracts Solution Overview Block;1.0,Salesforce Contracts Left Top Section,Salesforce Contracts Solution Overview Block,1.0
Usage Management Right Section;Usage Management Learning Block 1;1.0,Usage Management Right Section,Usage Management Learning Block 1,1.0
Usage Management Right Section;Usage Management Learning Block 2;2.0,Usage Management Right Section,Usage Management Learning Block 2,2.0
Usage Management Left Top Section;Usage Management Solution Overview Block;1.0,Usage Management Left Top Section,Usage Management Solution Overview Block,1.0
Home Learning Hub;Read Implementation Guide;3.0,Home Learning Hub,Read Implementation Guide,3.0
Home Left Bottom;Usage Management Home Block;9.0,Home Left Bottom,Usage Management Home Block,9.0
Home Learning Hub;Connect with Salesforce;4.0,Home Learning Hub,Connect with Salesforce,4.0
Home Learning Hub;We Value Your Ideas and Feedback;5.0,Home Learning Hub,We Value Your Ideas and Feedback,5.0
Product Catalog Management Left Bottom Section;Product Catalog Get Started;1.0,Product Catalog Management Left Bottom Section,Product Catalog Get Started,1.0
Product Catalog Management Left Bottom Section;Product Catalog Management Validate Setup Home;2.0,Product Catalog Management Left Bottom Section,Product Catalog Management Validate Setup Home,2.0
Product Catalog Management Left Bottom Section;Product Catalog Management Launch App Home;3.0,Product Catalog Management Left Bottom Section,Product Catalog Management Launch App Home,3.0
Product Catalog Management Left Bottom Section;Product Catalog Management Customize Capabilities Home;4.0,Product Catalog Management Left Bottom Section,Product Catalog Management Customize Capabilities Home,4.0
ProductConfig_Learn Popup Section;ProductConfig_Learn;1.0,ProductConfig_Learn Popup Section,ProductConfig_Learn,1.0
Product Configurator Left Bottom Section;Product Configurator Get Started Home;1.0,Product Configurator Left Bottom Section,Product Configurator Get Started Home,1.0
Product Configurator Left Bottom Section;Product Configurator Validate Setup Home;2.0,Product Configurator Left Bottom Section,Product Configurator Validate Setup Home,2.0
Home Learning Hub;Revenue Cloud Fundamentals;1.0,Home Learning Hub,Revenue Cloud Fundamentals,1.0
Product Configurator Left Bottom Section;Product Configurator Launch App Home;3.0,Product Configurator Left Bottom Section,Product Configurator Launch App Home,3.0
Product Configurator Left Bottom Section;Product Configurator Customize Capabilities Home;4.0,Product Configurator Left Bottom Section,Product Configurator Customize Capabilities Home,4.0
Price Management Left Bottom Section;Price Management Validate Setup Block;2.0,Price Management Left Bottom Section,Price Management Validate Setup Block,2.0
Price Management Get Started Popup Section;Price Management Get Started Popup Text Block;1.0,Price Management Get Started Popup Section,Price Management Get Started Popup Text Block,1.0
Price Management Left Bottom Section;Price Management Get Started Block;1.0,Price Management Left Bottom Section,Price Management Get Started Block,1.0
Price Management Left Bottom Section;Price Management Launch App Block;3.0,Price Management Left Bottom Section,Price Management Launch App Block,3.0
Price Management Left Bottom Section;Price Management Customize Capabilities Block;4.0,Price Management Left Bottom Section,Price Management Customize Capabilities Block,4.0
Transaction Management Left Bottom Section;Transaction Management Get Started;1.0,Transaction Management Left Bottom Section,Transaction Management Get Started,1.0
Transaction Management Left Bottom Section;Transaction Management Validate Setup;2.0,Transaction Management Left Bottom Section,Transaction Management Validate Setup,2.0
Transaction Management Left Bottom Section;Transaction Management Launch App;3.0,Transaction Management Left Bottom Section,Transaction Management Launch App,3.0
Home Learning Hub;Revenue Cloud Certification;2.0,Home Learning Hub,Revenue Cloud Certification,2.0
Transaction Management Left Bottom Section;Transaction Management Customize Capabilities;4.0,Transaction Management Left Bottom Section,Transaction Management Customize Capabilities,4.0
DRO Left Bottom Section;DRO Get Started Block;1.0,DRO Left Bottom Section,DRO Get Started Block,1.0
DRO Left Bottom Section;DRO Validate Setup Block;2.0,DRO Left Bottom Section,DRO Validate Setup Block,2.0
DRO Left Bottom Section;DRO Launch App;3.0,DRO Left Bottom Section,DRO Launch App,3.0
DRO Left Bottom Section;DRO Customize Capabilities;4.0,DRO Left Bottom Section,DRO Customize Capabilities,4.0
Billing Left Bottom Section;Billing Get Started Block;1.0,Billing Left Bottom Section,Billing Get Started Block,1.0
Billing Left Bottom Section;Billing Validate Setup Block;2.0,Billing Left Bottom Section,Billing Validate Setup Block,2.0
