$$DeveloperName$SobjectType,DeveloperName,SobjectType
Detail;RLM_Learning_Section__c,Detail,RLM_Learning_Section__c
Left_Bottom;RLM_Learning_Section__c,Left_Bottom,RLM_Learning_Section__c
Left_Top;RLM_Learning_Section__c,Left_Top,RLM_Learning_Section__c
Right;RLM_Learning_Section__c,Right,RLM_Learning_Section__c
Top;RLM_Learning_Section__c,Top,RLM_Learning_Section__c
APINamePage;RLM_Learning_DynamicLink__c,APINamePage,RLM_Learning_DynamicLink__c
AppPage;RLM_Learning_DynamicLink__c,AppPage,RLM_Learning_DynamicLink__c
CommunityPage;RLM_Learning_DynamicLink__c,CommunityPage,RLM_Learning_DynamicLink__c
DPERecordPage;RLM_Learning_DynamicLink__c,DPERecordPage,RLM_Learning_DynamicLink__c
FlowRecordPage;RLM_Learning_DynamicLink__c,FlowRecordPage,RLM_Learning_DynamicLink__c
InAppDetailsPage;RLM_Learning_DynamicLink__c,InAppDetailsPage,RLM_Learning_DynamicLink__c
InAppPopup;RLM_Learning_DynamicLink__c,InAppPopup,RLM_Learning_DynamicLink__c
NamedPage;RLM_Learning_DynamicLink__c,NamedPage,RLM_Learning_DynamicLink__c
ObjectPage;RLM_Learning_DynamicLink__c,ObjectPage,RLM_Learning_DynamicLink__c
RecordPage;RLM_Learning_DynamicLink__c,RecordPage,RLM_Learning_DynamicLink__c
RecordRelationshipPage;RLM_Learning_DynamicLink__c,RecordRelationshipPage,RLM_Learning_DynamicLink__c
SetupPage;RLM_Learning_DynamicLink__c,SetupPage,RLM_Learning_DynamicLink__c
SurveyRecordPage;RLM_Learning_DynamicLink__c,SurveyRecordPage,RLM_Learning_DynamicLink__c
WebPage;RLM_Learning_DynamicLink__c,WebPage,RLM_Learning_DynamicLink__c
