Name,Status,PeriodStartDate,SalesAgreementRevenue,SalesAgreementQuantity,OrderRevenue,OrderQuantity,OpportunityRevenue,OpportunityQuantity,LastYearOrderRevenue,LastYearOrderQuantity,ForecastedRevenue,ForecastedQuantity,Account_Manager_Forecasted_Revenue__c,Account_Manager_Forecasted_Quantity__c,AdvAcctForecastSetPartner.Name,Period.FullyQualifiedLabel,PeriodId,Product.StockKeepingUnit,ProductId,Category__r.Code,Category__c,CategoryId,Account.Name
Acetone (ACET-50) - 200L DrumFQ1 FY 2025,Active,#N/A,7200,99692,4266,665574,7760,329366,9170,204000,5789,353211.666667,2407,630577,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ1 FY 2025,Active,#N/A,2317,234078,2188,243681,3940,338931,6002,66997,3491.666667,382541.333333,4218,574615,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ1 FY 2025,Active,#N/A,6067,163725,3636,75351,2055,935880,1033,886489,3120,618999,1238,757392,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ1 FY 2025,Active,#N/A,6713,55446,7731,680615,3192,886593,4257,755136,4519.333333,520969,3653,620868,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ1 FY 2025,Active,#N/A,6399,514708,2819,346742,5226,391542,6982,726151,5022,528001,3441,677753,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ1 FY 2025,Active,#N/A,5304,462755,5713,609335,9061,331587,4273,861930,7567,408404.333333,8336,430871,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ1 FY 2025,Active,#N/A,1382,95151,9230,800072,2915,349776,2753,589505,3203.666667,412209.666667,5314,791702,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ1 FY 2025,Active,#N/A,8129,264745,7463,787519,1259,316029,2444,679153,3817.666667,240662.333333,2065,141213,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ1 FY 2025,Active,#N/A,4651,101735,5961,748744,7444,194788,8727,46247,5023.666667,201818,2976,308931,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ1 FY 2025,Active,#N/A,1551,212162,7238,987001,5980,979341,7311,879832,3439,700037.333333,2786,908609,Acme Forecast,FQ1 FY 2025,026O5000002Z16pIAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
