Id,Code,Name,Catalog.Name
0ZGO50000005uj7OAA,Additives & Catalysts,Additives & Catalysts,Badger Chemicals
0ZGO50000005uj8OAA,Base Chemicals,Base Chemicals,Badger Chemicals
0ZGO50000005uj9OAA,Industrial Solvents,Industrial Solvents,Badger Chemicals
0ZGO50000005ujAOAQ,Polymers & Resins,Polymers & Resins,Badger Chemicals
0ZGO50000005ujBOAQ,Specialty Chemicals,Specialty Chemicals,Badger Chemicals
0ZGO50000005ujCOAQ,Attachments,Attachments,Badger Equipment
0ZGO50000005ujDOAQ,Equipment,Equipment,Badger Equipment
0ZGO50000005ujJOAQ,Excavators,Excavators,Badger Equipment
0ZGO50000005ujEOAQ,Lubricants,Lubricants,Badger Equipment
0ZGO50000005ujFOAQ,Replacement Parts,Replacement Parts,Badger Equipment
0ZGO50000005ujGOAQ,Rippers,Rippers,Badger Equipment
0ZGO50000005ujHOAQ,Service Contracts,Service Contracts,Badger Equipment
0ZGO50000005ujKOAQ,Skid Steers,Skid Steers,Badger Equipment
0ZGO50000005ujIOAQ,Trenchers,Trenchers,Badger Equipment
0ZGO50000005ujLOAQ,"Adhesives, Sealants & Tapes","Adhesives, Sealants & Tapes",Badger Industrials
0ZGO50000005ujMOAQ,Bearings & Bushings,Bearings & Bushings,Badger Industrials
0ZGO50000005ujNOAQ,Chains & Sprockets,Chains & Sprockets,Badger Industrials
0ZGO50000005ujOOAQ,Couplings,Couplings,Badger Industrials
0ZGO50000005ujPOAQ,Industrial Motors & Controls,Industrial Motors & Controls,Badger Industrials
0ZGO50000005ujQOAQ,Kits,Kits,Badger Industrials
0ZGO50000005ujROAQ,Pneumatics & Hydraulics,Pneumatics & Hydraulics,Badger Industrials
0ZGO50000005ujSOAQ,Batteries,Batteries,Power Management
0ZGO50000005ujTOAQ,Connectivity,Connectivity,Power Management
0ZGO50000005ujUOAQ,Fuel Cells,Fuel Cells,Power Management
0ZGO50000005ujVOAQ,Generators,Generators,Power Management
0ZGO50000005ujWOAQ,Solar Panels,Solar Panels,Power Management
0ZGO50000005ujXOAQ,Switchgears,Switchgears,Power Management
0ZGO50000005ujYOAQ,Tiers,Tiers,Service Contracts
0ZGO50000005ujZOAQ,Warranty,Warranty,Service Contracts
