Name,AccountingCode,AccountingName,AccountingType,CurrencyIsoCode,Description,FinancialStatement,LegalEntity.Name,Type
1100 Accounts Receivable – Trade,1100,Accounts Receivable – Trade,,USD,,,Default Legal Entity - US,Asset
1110 Accounts Receivable – Unbilled,1110,Accounts Receivable – Unbilled,,USD,,,Default Legal Entity - US,Asset
1120 Accounts Receivable – Retainage,1120,Accounts Receivable – Retainage,,USD,,,Default Legal Entity - US,Asset
1130 Allowance for Doubtful Accounts,1130,Allowance for Doubtful Accounts,,USD,Allowance for Doubtful Accounts (contra-asset),,Default Legal Entity - US,Asset
1000 Cash & Cash Equivalents,1000,Cash & Cash Equivalents,,USD,,,Default Legal Entity - US,Asset
2000 Accounts Payable – Trade,2000,Accounts Payable – Trade,,USD,,,Default Legal Entity - US,Liability
2100 Accrued Expenses,2100,Accrued Expenses,,USD,,,Default Legal Entity - US,Liability
2300 Payroll Liabilities,2300,Payroll Liabilities,,USD,,,Default Legal Entity - US,Liability
2400 Sales Tax Payable,2400,Sales Tax Payable,,USD,,,Default Legal Entity - US,Liability
2500 Other Current Liabilities,2500,Other Current Liabilities,,USD,,,Default Legal Entity - US,Liability
3000 Common Stock,3000,Common Stock,,USD,,,Default Legal Entity - US,Equity
3200 Retained Earnings,3200,Retained Earnings,,USD,,,Default Legal Entity - US,Equity
4100 Product Revenue (Equipment & Manufacturing),4100,Product Revenue (Equipment & Mfg),,USD,,,Default Legal Entity - US,Revenue
4200 Services Revenue (Installation & Field Services),4200,Services Revenue (Install & Field),,USD,,,Default Legal Entity - US,Revenue
4300 Maintenance & Support Revenue,4300,Maintenance & Support Revenue,,USD,,,Default Legal Entity - US,Revenue
4400 Parts & Consumables Revenue,4400,Parts & Consumables Revenue,,USD,,,Default Legal Entity - US,Revenue
4500 Interest Income,4500,Interest Income,,USD,,,Default Legal Entity - US,Revenue
4600 Unrealized FX Gain,4600,Unrealized FX Gain,,USD,,,Default Legal Entity - US,Revenue
4610 Realized FX Gain,4610,Realized FX Gain,,USD,,,Default Legal Entity - US,Revenue
5000 Cost of Goods Sold (COGS),5000,Cost of Goods Sold (COGS),,USD,Cost of Goods Sold (Manufacturing & Equipment),,Default Legal Entity - US,Expense
5100 Salaries & Wages,5100,Salaries & Wages,,USD,,,Default Legal Entity - US,Expense
5200 Employee Benefits,5200,Employee Benefits,,USD,,,Default Legal Entity - US,Expense
5300 Rent & Facilities,5300,Rent & Facilities,,USD,,,Default Legal Entity - US,Expense
5400 Marketing & Advertising,5400,Marketing & Advertising,,USD,,,Default Legal Entity - US,Expense
5500 Travel & Entertainment,5500,Travel & Entertainment,,USD,,,Default Legal Entity - US,Expense
5600 Professional Services,5600,Professional Services,,USD,,,Default Legal Entity - US,Expense
5700 Software & Subscriptions,5700,Software & Subscriptions,,USD,,,Default Legal Entity - US,Expense
5800 Depreciation Expense,5800,Depreciation Expense,,USD,,,Default Legal Entity - US,Expense
8100 Bad Debt Expense,8100,Bad Debt Expense,,USD,,,Default Legal Entity - US,Expense
8200 Discounts Allowed (contra-revenue),8200,Discounts Allowed (contra-revenue),,USD,,,Default Legal Entity - US,Expense
8300 Sales Returns & Allowances,8300,Sales Returns & Allowances,,USD,,,Default Legal Entity - US,Expense
8400 Write-Offs – Small Balance/Uncollectible,8400,Write-Offs – Small Balance/Uncollectible,,USD,,,Default Legal Entity - US,Expense
8500 Unrealized FX Loss,8500,Unrealized FX Loss,,USD,,,Default Legal Entity - US,Expense
8510 Realized FX Loss,8510,Realized FX Loss,,USD,,,Default Legal Entity - US,Expense
