AmendGroup.Name,AssignedTo.Name,CancelledGroup.Name,CustomBaseExecutionDate,CustomFulfillmentScope,DelayOf,DelayUnit,ExecuteOn,FlowDefinitionName,ForcePlanFreezeDuringExecution,IntegrationDefinitionName.DeveloperName,IsSkipBranch,Name,OmniscriptName,PointOfNoReturn,ResumeOnRule.Name,Scope,StepDefinitionGroup.Name,StepType,TaskAllocationType,UsageType
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,#N/A,false,Assetize Order,#N/A,#N/A,#N/A,Plan,Tenant Provisioning + Activation,Milestone,#N/A,#N/A
#N/A,__DRO_ASSIGNED_TO_USER__,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,#N/A,false,Validate Order Info,#N/A,#N/A,#N/A,Plan,Order Processing,ManualTask,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,RLM_DFOTenantProvisioningCallout,false,Stage New Tenant for Provisioning,#N/A,#N/A,#N/A,Plan,Tenant Provisioning + Activation,Callout,#N/A,#N/A
#N/A,__DRO_ASSIGNED_TO_USER__,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,#N/A,false,Initiate Billing,#N/A,#N/A,#N/A,Plan,Finance,Milestone,#N/A,#N/A
#N/A,__DRO_ASSIGNED_TO_USER__,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,#N/A,false,Post Invoice,#N/A,#N/A,#N/A,Plan,Finance,ManualTask,#N/A,#N/A
#N/A,__DRO_ASSIGNED_TO_USER__,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,#N/A,false,Receive Payment,#N/A,#N/A,#N/A,Plan,Finance,ManualTask,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,DFOApexMockService,false,IoT Health Check,#N/A,#N/A,#N/A,Plan,Equipment Health Check,Callout,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RLM_Assetize_Order_DRO_Fulfillment,Never,#N/A,false,Convert Order to Asset,#N/A,#N/A,#N/A,Plan,Asset Conversion,AutoTask,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Never,RLM_DFOTenantProvisioningCallout,false,Stage New Tenant for Provisioning (Standard),#N/A,#N/A,#N/A,Plan,Tenant Provisioning,Callout,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RLM_MFG_Create_Work_Order_DRO,Never,#N/A,false,Create Work Order,#N/A,#N/A,#N/A,Plan,Work Order,AutoTask,#N/A,#N/A
