$$AttributeCategory.Code$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
Application;Duty Rating,Application,Duty Rating
Application;FB_Full Load Required (kW),Application,FB_Full Load Required (kW)
Application;FB_max dB level,Application,FB_max dB level
Application;FB_Voltage,Application,FB_Voltage
Application;Reserve Capacity (kW),Application,Reserve Capacity (kW)
Application;Surge Load (kW),Application,Surge Load (kW)
Bay AC;Bay Number,Bay AC,Bay Number
Bucket Size_AC;Size_AD,Bucket Size_AC,Size_AD
Cabin_AC;Cabin_Enclosure_AD,Cabin_AC,Cabin_Enclosure_AD
Environment;Application/Emission Certification,Environment,Application/Emission Certification
Environment;Seismic Certification,Environment,Seismic Certification
Environment;Special Application,Environment,Special Application
Environment;Standards and Compliance,Environment,Standards and Compliance
Fuel Cell AC;Fuel Type AD,Fuel Cell AC,Fuel Type AD
Fuel Cell AC;gc_certificate,Fuel Cell AC,gc_certificate
Power Train_AC;Engine_AD,Power Train_AC,Engine_AD
Power Train_AC;Transmission_AD,Power Train_AC,Transmission_AD
Switchgear AC;Assetized Low Voltage Generators,Switchgear AC,Assetized Low Voltage Generators
Switchgear AC;Assetized Medium Voltage Generators,Switchgear AC,Assetized Medium Voltage Generators
Switchgear AC;Quoted Low Voltage Generators,Switchgear AC,Quoted Low Voltage Generators
Switchgear AC;Quoted Medium Voltage Generators,Switchgear AC,Quoted Medium Voltage Generators
Switchgear AC;Total Power Required (kW),Switchgear AC,Total Power Required (kW)
Switchgear AC;Use Assets,Switchgear AC,Use Assets
