$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.Name,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
Engine_AD;414LP-KAA-E-SSL,Power Train_AC,Engine_AD,Engine,50 Hp,#N/A,#N/A,#N/A,false,true,false,false,#N/A,#N/A,#N/A,#N/A,Engine,#N/A;#N/A,414LP-KAA-E-SSL,Engine,#N/A,Active,#N/A,#N/A,#N/A
powerkW;FESBA_1200,#N/A,powerkW,powerkW,1200,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,#N/A;#N/A,FESBA_1200,powerkW,#N/A,Active,#N/A,#N/A,#N/A
powerkW;FESBA_1500,#N/A,powerkW,powerkW,1500,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,#N/A;#N/A,FESBA_1500,powerkW,#N/A,Active,#N/A,#N/A,#N/A
powerkW;FESBA_1750,#N/A,powerkW,powerkW,1750,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,#N/A;#N/A,FESBA_1750,powerkW,#N/A,Active,#N/A,#N/A,#N/A
powerkW;FESBA_2500,#N/A,powerkW,powerkW,2500,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,#N/A;#N/A,FESBA_2500,powerkW,#N/A,Active,#N/A,#N/A,#N/A
powerkW;FESBA_900,#N/A,powerkW,powerkW,900,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,#N/A;#N/A,FESBA_900,powerkW,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R002-2,Application,FB_Voltage,Voltage,277/480,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R002-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R003-2,Application,FB_Voltage,Voltage,240/416,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R003-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R023-2,Application,FB_Voltage,Voltage,255/440,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R023-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R099-2,Application,FB_Voltage,Voltage,220/380,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R099-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R107-2,Application,FB_Voltage,Voltage,2400/4160,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R107-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R114-2,Application,FB_Voltage,Voltage,347/600,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R114-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R130-2,Application,FB_Voltage,Voltage,7976/13800,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R130-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R132-2,Application,FB_Voltage,Voltage,7621/13200,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R132-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
FB_Voltage;FESBA_R144-2,Application,FB_Voltage,Voltage,7200/12470,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,#N/A;#N/A,FESBA_R144-2,Voltage,#N/A,Active,#N/A,#N/A,#N/A
Duty Rating;FESBA-FRD,Application,Duty Rating,Duty Rating,#N/A,#N/A,#N/A,#N/A,false,true,false,false,#N/A,#N/A,#N/A,#N/A,Duty Rating,#N/A;#N/A,FESBA-FRD,Duty Rating,#N/A,Active,#N/A,#N/A,#N/A
Total Power Required (kW);LVGBRK,Switchgear AC,Total Power Required (kW),Total Power Required (kW),#N/A,#N/A,#N/A,#N/A,true,false,false,false,#N/A,#N/A,#N/A,#N/A,Total Power Required (kW),#N/A;#N/A,LVGBRK,Total Power Required (kW),#N/A,Inactive,#N/A,#N/A,#N/A
Total Power Required (kW);MVGBRK,Switchgear AC,Total Power Required (kW),Total Power Required (kW),#N/A,#N/A,#N/A,#N/A,true,false,false,false,#N/A,#N/A,#N/A,#N/A,Total Power Required (kW),#N/A;#N/A,MVGBRK,Total Power Required (kW),#N/A,Inactive,#N/A,#N/A,#N/A
