$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
Buckets PC;Size_AD;Bucket Size_AC,Bucket Size_AC,Size_AD,Size,"36""",Bucket Size,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Size,Buckets PC,#N/A,Active,#N/A,#N/A,#N/A
Control PC;Control Language;#N/A,#N/A,Control Language,Control Language,English,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Control Language,Control PC,#N/A,Active,#N/A,#N/A,#N/A
Control PC;Control Placement;#N/A,#N/A,Control Placement,Control Placement,Right,#N/A,#N/A,#N/A,false,false,true,false,#N/A,#N/A,#N/A,#N/A,Control Placement,Control PC,#N/A,Active,#N/A,#N/A,#N/A
Fuel Cell PC;Cooling Method AD;#N/A,#N/A,Cooling Method AD,Cooling Method,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Cooling Method,Fuel Cell PC,#N/A,Active,#N/A,#N/A,#N/A
Fuel Cell PC;Fuel Type AD;Fuel Cell AC,Fuel Cell AC,Fuel Type AD,Fuel Type,Hydrogen (H2),#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Fuel Type,Fuel Cell PC,#N/A,Active,#N/A,#N/A,#N/A
Fuel Cell PC;gc_certificate;Fuel Cell AC,Fuel Cell AC,gc_certificate,Certificate,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Certificate,Fuel Cell PC,#N/A,Active,#N/A,#N/A,#N/A
Fuel Cell PC;Nominal Power Output AD;#N/A,#N/A,Nominal Power Output AD,Nominal Power Output,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Nominal Power Output,Fuel Cell PC,#N/A,Active,#N/A,#N/A,#N/A
Fuel Cell PC;Operating Voltage AD;#N/A,#N/A,Operating Voltage AD,Operating Voltage,12V,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Operating Voltage,Fuel Cell PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Application/Emission Certification;Environment,Environment,Application/Emission Certification,Application/Emission Certification,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Application/Emission Certification,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Duty Rating;Application,Application,Duty Rating,Duty Rating,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Duty Rating,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;FB_Full Load Required (kW);Application,Application,FB_Full Load Required (kW),FB_Full Load Required (kW),500,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Full Load Required (kW),Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;FB_max dB level;Application,Application,FB_max dB level,FB_max dB level,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,max dB level,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;FB_Voltage;Application,Application,FB_Voltage,FB_Voltage,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Reserve Capacity (kW);Application,Application,Reserve Capacity (kW),Reserve Capacity (kW),125,#N/A,#N/A,#N/A,false,false,true,false,#N/A,#N/A,#N/A,#N/A,Reserve Capacity (kW),Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Seismic Certification;Environment,Environment,Seismic Certification,Seismic Certification,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Seismic Certification,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Special Application;Environment,Environment,Special Application,Special Application,None - Standard,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Special Application,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Standards and Compliance;Environment,Environment,Standards and Compliance,Standards and Compliance,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Standards and Compliance,Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
Generator Set PC;Surge Load (kW);Application,Application,Surge Load (kW),Surge Load (kW),625,#N/A,#N/A,#N/A,false,false,true,false,#N/A,#N/A,#N/A,#N/A,Surge Load (kW),Generator Set PC,#N/A,Active,#N/A,#N/A,#N/A
MainAlternator;FB_Voltage;Application,Application,FB_Voltage,FB_Voltage,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,FB_Voltage,MainAlternator,#N/A,Active,#N/A,#N/A,#N/A
Model PC;powerkW;#N/A,#N/A,powerkW,powerkW,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,powerkW,Model PC,#N/A,Active,#N/A,#N/A,#N/A
Skid Steer PC;Cabin_Enclosure_AD;Cabin_AC,Cabin_AC,Cabin_Enclosure_AD,Cabin_Enclosure,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Cabin_Enclosure,Skid Steer PC,#N/A,Active,#N/A,#N/A,#N/A
Skid Steer PC;Engine_AD;Power Train_AC,Power Train_AC,Engine_AD,Engine,50 Hp,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Engine,Skid Steer PC,#N/A,Active,#N/A,#N/A,#N/A
Skid Steer PC;Transmission_AD;Power Train_AC,Power Train_AC,Transmission_AD,Transmission,One-Speed,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Transmission,Skid Steer PC,#N/A,Active,#N/A,#N/A,#N/A
SWG;Assetized Low Voltage Generators;Switchgear AC,Switchgear AC,Assetized Low Voltage Generators,Assetized Low Voltage Generators,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Assetized Low Voltage Generators,SWG,#N/A,Active,#N/A,#N/A,#N/A
SWG;Assetized Medium Voltage Generators;Switchgear AC,Switchgear AC,Assetized Medium Voltage Generators,Assetized Medium Voltage Generators,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Assetized Medium Voltage Generators,SWG,#N/A,Active,#N/A,#N/A,#N/A
SWG;Quoted Low Voltage Generators;Switchgear AC,Switchgear AC,Quoted Low Voltage Generators,Quoted Low Voltage Generators,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Quoted Low Voltage Generators,SWG,#N/A,Active,#N/A,#N/A,#N/A
SWG;Quoted Medium Voltage Generators;Switchgear AC,Switchgear AC,Quoted Medium Voltage Generators,Quoted Medium Voltage Generators,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Quoted Medium Voltage Generators,SWG,#N/A,Active,#N/A,#N/A,#N/A
SWG;Total Power Required (kW);Switchgear AC,Switchgear AC,Total Power Required (kW),Total Power Required (kW),#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Total Power Required (kW),SWG,#N/A,Active,#N/A,#N/A,#N/A
SWG;Use Assets;Switchgear AC,Switchgear AC,Use Assets,Use Assets,false,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Use Assets,SWG,#N/A,Active,#N/A,#N/A,#N/A
Switchgear Bay;Bay Number;Bay AC,Bay AC,Bay Number,Bay Number,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Bay Number,Switchgear Bay,#N/A,Active,#N/A,#N/A,#N/A
Switchgear Bay;Total Power Required (kW);Switchgear AC,Switchgear AC,Total Power Required (kW),Total Power Required (kW),#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Total Power Required (kW),Switchgear Bay,#N/A,Active,#N/A,#N/A,#N/A
Voltage PC;FB_Voltage;Application,Application,FB_Voltage,FB_Voltage,#N/A,#N/A,#N/A,#N/A,false,false,false,false,#N/A,#N/A,#N/A,#N/A,Voltage,Voltage PC,#N/A,Active,#N/A,#N/A,#N/A
