$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.Name,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.Name,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
#N/A;0155-2341-10-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0155-2341-10-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,220,#N/A
#N/A;0155-2342-10-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0155-2342-10-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,221,#N/A
#N/A;0155-2696-07-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0155-2696-07-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,222,#N/A
#N/A;0300-5929-01-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0300-5929-01-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,223,#N/A
#N/A;0300-5929-02-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0300-5929-02-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,224,#N/A
#N/A;0402-0750-01-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0402-0750-01-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,239,#N/A
#N/A;0416-0439-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0416-0439-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,225,#N/A
#N/A;0416-0527-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0416-0527-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,226,#N/A
#N/A;0541-1204-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,0541-1204-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,227,#N/A
#N/A;10-DL;SC-GOLD;Included Entitlements;Bundle to Bundle Component Relationship,10-DL,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,SC-GOLD,Bundle,#N/A,Included Entitlements,Bundle to Bundle Component Relationship,1,Proportional,#N/A,20,#N/A
