$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.Name,ProrationPolicy.Name
0155-2341-10-FRD;One-Time;OneTime,true,0155-2341-10-FRD,One-Time,#N/A
0155-2342-10-FRD;One-Time;OneTime,true,0155-2342-10-FRD,One-Time,#N/A
0155-2696-07-FRD;One-Time;OneTime,true,0155-2696-07-FRD,One-Time,#N/A
0300-5929-01-FRD;One-Time;OneTime,true,0300-5929-01-FRD,One-Time,#N/A
0300-5929-02-FRD;One-Time;OneTime,true,0300-5929-02-FRD,One-Time,#N/A
0402-0750-01-FRD;One-Time;OneTime,true,0402-0750-01-FRD,One-Time,#N/A
0416-0439-FRD;One-Time;OneTime,true,0416-0439-FRD,One-Time,#N/A
0416-0527-FRD;One-Time;OneTime,true,0416-0527-FRD,One-Time,#N/A
0541-1204-FRD;One-Time;OneTime,true,0541-1204-FRD,One-Time,#N/A
10-DL;Term Annual;TermDefined,true,10-DL,Term Annual,Default Proration Policy
20-DP;Term Annual;TermDefined,true,20-DP,Term Annual,Default Proration Policy
414LP-KAA-CAB2;One-Time;OneTime,true,414LP-KAA-CAB2,One-Time,#N/A
414LP-KAA-CAB3;One-Time;OneTime,true,414LP-KAA-CAB3,One-Time,#N/A
414LP-KAA-E-SSL;One-Time;OneTime,true,414LP-KAA-E-SSL,One-Time,#N/A
414LP-KAA-TT1;One-Time;OneTime,true,414LP-KAA-TT1,One-Time,#N/A
414LP-KAA-TT2;One-Time;OneTime,true,414LP-KAA-TT2,One-Time,#N/A
A030S169-FRD;One-Time;OneTime,true,A030S169-FRD,One-Time,#N/A
A035K427-FRD;One-Time;OneTime,true,A035K427-FRD,One-Time,#N/A
A046D218-FRD;One-Time;OneTime,true,A046D218-FRD,One-Time,#N/A
A048N280-FRD;One-Time;OneTime,true,A048N280-FRD,One-Time,#N/A
A051H785-FRD;One-Time;OneTime,true,A051H785-FRD,One-Time,#N/A
A051K118-FRD;One-Time;OneTime,true,A051K118-FRD,One-Time,#N/A
A052X578-FRD;One-Time;OneTime,true,A052X578-FRD,One-Time,#N/A
A052X580-FRD;One-Time;OneTime,true,A052X580-FRD,One-Time,#N/A
A052X582-FRD;One-Time;OneTime,true,A052X582-FRD,One-Time,#N/A
A052X584-FRD;One-Time;OneTime,true,A052X584-FRD,One-Time,#N/A
A052X586-FRD;One-Time;OneTime,true,A052X586-FRD,One-Time,#N/A
ACET-50-200L;One-Time;OneTime,true,ACET-50-200L,One-Time,#N/A
ACET-50-20L;One-Time;OneTime,true,ACET-50-20L,One-Time,#N/A
AMEL-FRD;One-Time;OneTime,true,AMEL-FRD,One-Time,#N/A
AO-1000-25KG;One-Time;OneTime,true,AO-1000-25KG,One-Time,#N/A
AO-1000-50KG;One-Time;OneTime,true,AO-1000-50KG,One-Time,#N/A
