ConversionFactor,Description,Name,RoundingMethod,Scale,Sequence,Status,Type,UnitCode,UnitOfMeasureClass.Code
1,1000KG Super Sack,1000KG Sack,Up,0,#N/A,Active,Custom,1000KG-Sack,#N/A
1,1000 Kg Totes,1000KG Tote,Up,0,#N/A,Active,Custom,1000KG-TOTE,#N/A
1,1000-liter Intermediate Bulk Container,1000L IBC,Up,3,#N/A,Active,Custom,1000L-IBC,#N/A
1,200 Kg Drums,200KG Drum,Up,0,#N/A,Active,Custom,200KG-DR,#N/A
1,#N/A,200L Drum,#N/A,#N/A,#N/A,Active,Custom,200L-DR,#N/A
1,20 Kg Pails,20KG Pail,Up,0,#N/A,Active,Custom,20KG-PAIL,#N/A
1,20 L Pails,20L Pail,Up,0,#N/A,Active,Custom,20L-PAIL,#N/A
1,25 Kg Bags,25KG Bag,Up,0,#N/A,Active,Custom,25kg-BAG,#N/A
1,50 Kg Bags,50KG Bag,Up,0,#N/A,Active,Custom,50kg-BAG,#N/A
1,5 Kg Pails,5KG Pail,Up,0,#N/A,Active,Custom,5KG-PAIL,#N/A
1,Pressured Cylinder,Cylinder,Up,0,#N/A,Active,Custom,CYL,#N/A
1,#N/A,Each,#N/A,#N/A,1,Active,Count,EACH,#N/A
