$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
MFG Cost Books;Install-Fee;USD,0,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,Install-Fee
MFG Cost Books;SC-GOLD;USD,2400,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,SC-GOLD
MFG Cost Books;MV;USD,77.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,MV
MFG Cost Books;20-DP;USD,0,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,20-DP
MFG Cost Books;10-DL;USD,0,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,10-DL
MFG Cost Books;EW;USD,490,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,EW
MFG Cost Books;WARR-STD-1YR;USD,0,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,WARR-STD-1YR
MFG Cost Books;414LP-KAA-TT1;USD,81,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,414LP-KAA-TT1
MFG Cost Books;GP-Bucket;USD,216,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,GP-Bucket
MFG Cost Books;414LP-KAA-E-SSL;USD,8760,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,414LP-KAA-E-SSL
MFG Cost Books;GPST;USD,62,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,GPST
MFG Cost Books;414LP-KAA-CAB2;USD,384,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,414LP-KAA-CAB2
MFG Cost Books;Remote-Monitoring;USD,450,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,Remote-Monitoring
MFG Cost Books;EP-43253;USD,2.3575,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,EP-43253
MFG Cost Books;RHO-ENG-022;USD,8.4,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,RHO-ENG-022
MFG Cost Books;FA-Entitlement;USD,234,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FA-Entitlement
MFG Cost Books;DIRT-BUCKET;USD,343,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,DIRT-BUCKET
MFG Cost Books;SUB;USD,13.2,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,SUB
MFG Cost Books;RLM-SW-40;USD,11.1,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,RLM-SW-40
MFG Cost Books;414LP-KAA-TT2;USD,209,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,414LP-KAA-TT2
MFG Cost Books;TRENCHING-BUCKET;USD,369,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,TRENCHING-BUCKET
MFG Cost Books;414LP-KAA-CAB3;USD,125.4,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,414LP-KAA-CAB3
MFG Cost Books;ACET-50-20L;USD,25.6,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,ACET-50-20L
MFG Cost Books;AR-300-1000KG;USD,1190,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,AR-300-1000KG
MFG Cost Books;CI-3000-20L;USD,42,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,CI-3000-20L
MFG Cost Books;DF-4000-20L;USD,32.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,DF-4000-20L
MFG Cost Books;EPX-500-200KG;USD,432,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,EPX-500-200KG
MFG Cost Books;ACET-50-200L;USD,110,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,ACET-50-200L
MFG Cost Books;AR-300-200KG-DR;USD,296,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,AR-300-200KG-DR
MFG Cost Books;NH3-CYL;USD,27.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,NH3-CYL
MFG Cost Books;CI-3000-200L;USD,360,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,CI-3000-200L
MFG Cost Books;NaOH-25KG;USD,28.8,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,NaOH-25KG
MFG Cost Books;AO-1000-25KG;USD,129.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,AO-1000-25KG
MFG Cost Books;UV-2000-25KG;USD,216,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,UV-2000-25KG
MFG Cost Books;AO-1000-50KG;USD,180,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,AO-1000-50KG
MFG Cost Books;XYL-200-1000L;USD,423,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,XYL-200-1000L
MFG Cost Books;DF-4000-200L;USD,169,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,DF-4000-200L
MFG Cost Books;EPX-500-20KG;USD,32,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,EPX-500-20KG
MFG Cost Books;TOL-100-200L;USD,129,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,TOL-100-200L
MFG Cost Books;PE-1000-25KG;USD,66,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,PE-1000-25KG
MFG Cost Books;PC-500-5KG;USD,25,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,PC-500-5KG
MFG Cost Books;NaOH-50KG;USD,46.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,NaOH-50KG
MFG Cost Books;H2SO4-200L-DR;USD,104,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,H2SO4-200L-DR
MFG Cost Books;H2SO4-1000L-IBC;USD,165,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,H2SO4-1000L-IBC
MFG Cost Books;TiO2-500-1000KG;USD,780,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,TiO2-500-1000KG
MFG Cost Books;TOL-100-1000L;USD,270,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,TOL-100-1000L
MFG Cost Books;XYL-200-200L;USD,119,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,XYL-200-200L
MFG Cost Books;TiO2-500-25KG;USD,33.6,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,TiO2-500-25KG
MFG Cost Books;FESBA_BB23-2;USD,429.6,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FESBA_BB23-2
MFG Cost Books;0155-2696-07-FRD;USD,1065,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,0155-2696-07-FRD
MFG Cost Books;FESBA_B601-2;USD,716.1,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FESBA_B601-2
MFG Cost Books;0300-5929-01-FRD;USD,127.1,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,0300-5929-01-FRD
MFG Cost Books;FESBA_BB17-2;USD,152.5,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FESBA_BB17-2
MFG Cost Books;0300-5929-02-FRD;USD,270,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,0300-5929-02-FRD
MFG Cost Books;FESBA_B602-2;USD,75.2,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FESBA_B602-2
MFG Cost Books;0416-0439-FRD;USD,158.4,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,0416-0439-FRD
MFG Cost Books;FESBA_BB18-2;USD,1132.7,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,FESBA_BB18-2
MFG Cost Books;0416-0527-FRD;USD,147,MFG Cost Books,USD,,2025-01-01T20:00:00.000+0000,,0416-0527-FRD
