$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.Name,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.Name,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;ACET-50-200L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,ACET-50-200L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;ACET-50-20L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,ACET-50-20L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;AO-1000-25KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,AO-1000-25KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;AO-1000-50KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,AO-1000-50KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;AR-300-1000KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,AR-300-1000KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;AR-300-200KG-DR;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,AR-300-200KG-DR,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;CI-3000-200L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,CI-3000-200L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;CI-3000-20L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,CI-3000-20L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;DF-4000-200L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,DF-4000-200L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;DF-4000-20L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,DF-4000-20L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;EPX-500-200KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,EPX-500-200KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;EPX-500-20KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,EPX-500-20KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;H2SO4-1000L-IBC;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,H2SO4-1000L-IBC,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;H2SO4-200L-DR;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,H2SO4-200L-DR,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;NaOH-25KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,NaOH-25KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;NH3-CYL;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,NH3-CYL,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;PC-500-5KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,PC-500-5KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;PE-1000-25KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,PE-1000-25KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;RHO-ENG-022;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2024-01-01T20:00:00.000+0000,Percentage,USD,2024-01-01T20:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,RHO-ENG-022,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;TiO2-500-1000KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-01-01T20:00:00.000+0000,Percentage,USD,2025-01-01T20:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,TiO2-500-1000KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;TiO2-500-25KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,TiO2-500-25KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;TOL-100-1000L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,TOL-100-1000L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;TOL-100-200L;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,TOL-100-200L,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
Standard Price Adjustment Tier;UV-2000-25KG;One-Time;OneTime;AdjustmentPercentage;10;10;USD;2025-05-01T19:00:00.000+0000,Percentage,USD,2025-05-01T19:00:00.000+0000,#N/A,10,Standard Price Adjustment Tier,#N/A,#N/A,UV-2000-25KG,One-Time,Volume,OneTime,AdjustmentPercentage,10,#N/A
