StockKeepingUnit,TaxPolicy.Name
0155-2341-10-FRD,Default Tax Policy
0155-2342-10-FRD,Default Tax Policy
0155-2696-07-FRD,Default Tax Policy
0300-5929-01-FRD,Default Tax Policy
0300-5929-02-FRD,Default Tax Policy
0402-0750-01-FRD,Default Tax Policy
0416-0439-FRD,Default Tax Policy
0416-0527-FRD,Default Tax Policy
0541-1204-FRD,Default Tax Policy
10-DL,Default Tax Policy
20-DP,Default Tax Policy
414LP-KAA-CAB2,Default Tax Policy
414LP-KAA-CAB3,Default Tax Policy
414LP-KAA-E-SSL,Default Tax Policy
414LP-KAA-TT1,Default Tax Policy
414LP-KAA-TT2,Default Tax Policy
A030S169-FRD,Default Tax Policy
A035K427-FRD,Default Tax Policy
A046D218-FRD,Default Tax Policy
A048N280-FRD,Default Tax Policy
A051H785-FRD,Default Tax Policy
A051K118-FRD,Default Tax Policy
A052X578-FRD,Default Tax Policy
A052X580-FRD,Default Tax Policy
A052X582-FRD,Default Tax Policy
A052X584-FRD,Default Tax Policy
A052X586-FRD,Default Tax Policy
ACET-50-200L,Default Tax Policy
ACET-50-20L,Default Tax Policy
AMEL-FRD,Default Tax Policy
AO-1000-25KG,Default Tax Policy
AO-1000-50KG,Default Tax Policy
AR-300-1000KG,Default Tax Policy
AR-300-200KG-DR,Default Tax Policy
BG-BRG-7001,Default Tax Policy
BG-BRG-7002,Default Tax Policy
BG-BRG-7003,Default Tax Policy
BG-CHS-8001,Default Tax Policy
BG-CHS-8002,Default Tax Policy
BG-CPL-6001,Default Tax Policy
BG-CPL-6002,Default Tax Policy
BG-CPL-6003,Default Tax Policy
BG-KIT-CPL95,Default Tax Policy
BG-KIT-MTR1,Default Tax Policy
BG-MTR-1201,Default Tax Policy
BG-MTR-1202,Default Tax Policy
BG-PNH-9001,Default Tax Policy
BG-PNH-9002,Default Tax Policy
CI-3000-200L,Default Tax Policy
CI-3000-20L,Default Tax Policy
CUGR-FRD,Default Tax Policy
Civil-Engineer,Default Tax Policy
DF-4000-200L,Default Tax Policy
DF-4000-20L,Default Tax Policy
DIRT-BUCKET,Default Tax Policy
EP-43253,Default Tax Policy
EPX-500-200KG,Default Tax Policy
EPX-500-20KG,Default Tax Policy
EW,Default Tax Policy
Electrical-Engineer,Default Tax Policy
FA-Entitlement,Default Tax Policy
FESBA-FRD,Default Tax Policy
FESBA-PM-RAD,Default Tax Policy
FESBA_1200,Default Tax Policy
FESBA_1500,Default Tax Policy
FESBA_1750,Default Tax Policy
FESBA_2500,Default Tax Policy
FESBA_2940,Default Tax Policy
FESBA_3090,Default Tax Policy
FESBA_3750,Default Tax Policy
FESBA_5860,Default Tax Policy
FESBA_900,Default Tax Policy
FESBA_A292-2,Default Tax Policy
FESBA_A293-2,Default Tax Policy
FESBA_A333-2,Default Tax Policy
FESBA_A334-2,Default Tax Policy
FESBA_A358-2,Default Tax Policy
FESBA_A416-2,Default Tax Policy
FESBA_A460-2,Default Tax Policy
FESBA_B225-2,Default Tax Policy
FESBA_B244-2,Default Tax Policy
FESBA_B313-2,Default Tax Policy
FESBA_B448-2,Default Tax Policy
FESBA_B467-2,Default Tax Policy
FESBA_B567-2,Default Tax Policy
FESBA_B595-2,Default Tax Policy
FESBA_B598-2,Default Tax Policy
FESBA_B599-2,Default Tax Policy
FESBA_B600-2,Default Tax Policy
FESBA_B601-2,Default Tax Policy
FESBA_B602-2,Default Tax Policy
FESBA_B603-2,Default Tax Policy
FESBA_B604-2,Default Tax Policy
FESBA_B607-2,Default Tax Policy
FESBA_B612-2,Default Tax Policy
FESBA_B628-2,Default Tax Policy
FESBA_B660-2,Default Tax Policy
FESBA_B663-2,Default Tax Policy
FESBA_B664-2,Default Tax Policy
FESBA_B688-2,Default Tax Policy
FESBA_B691-2,Default Tax Policy
FESBA_B715-2,Default Tax Policy
FESBA_B791-2,Default Tax Policy
FESBA_B801-2,Default Tax Policy
FESBA_B816-2,Default Tax Policy
FESBA_B817-2,Default Tax Policy
FESBA_B903-2,Default Tax Policy
FESBA_B904-2,Default Tax Policy
FESBA_B905-2,Default Tax Policy
FESBA_B906-2,Default Tax Policy
FESBA_B907-2,Default Tax Policy
FESBA_B909-2,Default Tax Policy
FESBA_BB08-2,Default Tax Policy
FESBA_BB10-2,Default Tax Policy
FESBA_BB12-2,Default Tax Policy
FESBA_BB14-2,Default Tax Policy
FESBA_BB15-2,Default Tax Policy
FESBA_BB17-2,Default Tax Policy
FESBA_BB18-2,Default Tax Policy
FESBA_BB20-2,Default Tax Policy
FESBA_BB23-2,Default Tax Policy
FESBA_BB26-2,Default Tax Policy
FESBA_BB29-2,Default Tax Policy
FESBA_BC03-2,Default Tax Policy
FESBA_BC04-2,Default Tax Policy
FESBA_BC05-2,Default Tax Policy
FESBA_C127-2,Default Tax Policy
FESBA_C278-2,Default Tax Policy
FESBA_D036-2,Default Tax Policy
FESBA_D041-2,Default Tax Policy
FESBA_E043-2,Default Tax Policy
FESBA_E080-2,Default Tax Policy
FESBA_E125-2,Default Tax Policy
FESBA_E126-2,Default Tax Policy
FESBA_E128-2,Default Tax Policy
FESBA_F258-2,Default Tax Policy
FESBA_F259-2,Default Tax Policy
FESBA_H110-2,Default Tax Policy
FESBA_H244-2,Default Tax Policy
FESBA_H389-2,Default Tax Policy
FESBA_H527-2,Default Tax Policy
FESBA_H556-2,Default Tax Policy
FESBA_H557-2,Default Tax Policy
FESBA_H606-2,Default Tax Policy
FESBA_H607-2,Default Tax Policy
FESBA_H666-2,Default Tax Policy
FESBA_H678-2,Default Tax Policy
FESBA_H704-2,Default Tax Policy
FESBA_H720-2,Default Tax Policy
FESBA_H723-2,Default Tax Policy
FESBA_H724-2,Default Tax Policy
FESBA_H734-2,Default Tax Policy
FESBA_K020-2,Default Tax Policy
FESBA_K993-2,Default Tax Policy
FESBA_KA08-2,Default Tax Policy
FESBA_KB70-2,Default Tax Policy
FESBA_KB71-2,Default Tax Policy
FESBA_KB72-2,Default Tax Policy
FESBA_KB73-2,Default Tax Policy
FESBA_KC52-2,Default Tax Policy
FESBA_KC53-2,Default Tax Policy
FESBA_KP78-2,Default Tax Policy
FESBA_KP82-2,Default Tax Policy
FESBA_KP83-2,Default Tax Policy
FESBA_KP84-2,Default Tax Policy
FESBA_KP85-2,Default Tax Policy
FESBA_KP86-2,Default Tax Policy
FESBA_KP87-2,Default Tax Policy
FESBA_KP88-2,Default Tax Policy
FESBA_KP89-2,Default Tax Policy
FESBA_KP90-2,Default Tax Policy
FESBA_KP91-2,Default Tax Policy
FESBA_KP92-2,Default Tax Policy
FESBA_KP93-2,Default Tax Policy
FESBA_KP94-2,Default Tax Policy
FESBA_KP98-2,Default Tax Policy
FESBA_KP99-2,Default Tax Policy
FESBA_KR01-2,Default Tax Policy
FESBA_KR02-2,Default Tax Policy
FESBA_KR08-2,Default Tax Policy
FESBA_KR78-2,Default Tax Policy
FESBA_KS53-2,Default Tax Policy
FESBA_KS57-2,Default Tax Policy
FESBA_KS58-2,Default Tax Policy
FESBA_KU62-2,Default Tax Policy
FESBA_KU68-2,Default Tax Policy
FESBA_KU70-2,Default Tax Policy
FESBA_KU71-2,Default Tax Policy
FESBA_KU83-2,Default Tax Policy
FESBA_KU84-2,Default Tax Policy
FESBA_KU93-2,Default Tax Policy
FESBA_KU94-2,Default Tax Policy
FESBA_KU95-2,Default Tax Policy
FESBA_KU99-2,Default Tax Policy
FESBA_KX21-2,Default Tax Policy
FESBA_KX24-2,Default Tax Policy
FESBA_KY01-2,Default Tax Policy
FESBA_L010-2,Default Tax Policy
FESBA_L011-2,Default Tax Policy
FESBA_L012-2,Default Tax Policy
FESBA_L013-2,Default Tax Policy
FESBA_L014-2,Default Tax Policy
FESBA_L015-2,Default Tax Policy
FESBA_L016-2,Default Tax Policy
FESBA_L017-2,Default Tax Policy
FESBA_L018-2,Default Tax Policy
FESBA_L019-2,Default Tax Policy
FESBA_L020-2,Default Tax Policy
FESBA_L021-2,Default Tax Policy
FESBA_L022-2,Default Tax Policy
FESBA_L023-2,Default Tax Policy
FESBA_L024-2,Default Tax Policy
FESBA_L025-2,Default Tax Policy
FESBA_L026-2,Default Tax Policy
FESBA_L027-2,Default Tax Policy
FESBA_L028-2,Default Tax Policy
FESBA_L038-2,Default Tax Policy
FESBA_L050-2,Default Tax Policy
FESBA_L051-2,Default Tax Policy
FESBA_L052-2,Default Tax Policy
FESBA_L057-2,Default Tax Policy
FESBA_L068-2,Default Tax Policy
FESBA_L069-2,Default Tax Policy
FESBA_L070-2,Default Tax Policy
FESBA_L071-2,Default Tax Policy
FESBA_L072-2,Default Tax Policy
FESBA_L073-2,Default Tax Policy
FESBA_L074-2,Default Tax Policy
FESBA_L114-2,Default Tax Policy
FESBA_L115-2,Default Tax Policy
FESBA_L136-2,Default Tax Policy
FESBA_L182-2,Default Tax Policy
FESBA_L183-2,Default Tax Policy
FESBA_L184-2,Default Tax Policy
FESBA_L185-2,Default Tax Policy
FESBA_L186-2,Default Tax Policy
FESBA_L187-2,Default Tax Policy
FESBA_L188-2,Default Tax Policy
FESBA_L189-2,Default Tax Policy
FESBA_L190-2,Default Tax Policy
FESBA_L191-2,Default Tax Policy
FESBA_L192-2,Default Tax Policy
FESBA_L245-2,Default Tax Policy
FESBA_L250-2,Default Tax Policy
