$$AttributeCategory.Code$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
CT001;WIRELESS,CT001,WIRELESS
DIS;DISPLAY,DIS,DISPLAY
DIS;DISPLAY-SIZE,DIS,DISPLAY-SIZE
GRA;GRAPHICS,GRA,GRAPHICS
MEM;MEMORY,MEM,MEMORY
P001;PRINTER,P001,PRINTER
PP001;PAPER-SIZE,PP001,PAPER-SIZE
PRO;WINDOWS-PROCESSOR,PRO,WINDOWS-PROCESSOR
PSR67832;PCR0090CD,PSR67832,PCR0090CD
SP001;SUPPORT-LEVEL,SP001,SUPPORT-LEVEL
STO;STORAGE,STO,STORAGE
T001;TRAINING,T001,TRAINING
TC009C67;GEL-QUANTITY,TC009C67,GEL-QUANTITY
TC009C67;POWDER-WEIGHT,TC009C67,POWDER-WEIGHT
