Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
DISPLAY,Picklist,,1080p Built-in Display,,Display,true,true,Display,Display,Display Picklist,,,
DISPLAY-SIZE,Picklist,,,,Display_Size,true,true,Screen Size,Display_Size,Display Size Picklist,,,
GEL-QUANTITY,Picklist,,,,GELQuantity,true,false,Gel Quantity,Gel Quantity,Gel Quantity,,,
GRAPHICS,Picklist,,,,Graphics,true,false,Graphics,Graphics,Graphics Picklist,,,
MEMORY,Picklist,,RAM 32GB,,Memory,true,true,Memory,Memory,Memory Picklist,,,
PAPER-SIZE,Picklist,,,,Printer_Paper,true,false,Printer Paper,Paper Size,Paper Size Picklist,,,
PCR0090CD,Picklist,,,,PasteRatio,true,false,Paste Ratio,Paste Ratio,Paste Color Ratio,,,
POWDER-WEIGHT,Picklist,,,,PowderWeight,true,false,Powder Weight,Powder Weight,Compound Weight,,,
PRINTER,Picklist,,,,Printer,true,false,Printer,Printer,Printer Picklist,,,
PROCESSOR,Picklist,,i5-CPU 4.4GHz,,Processor,true,true,Processor,Processor,Processor Picklist,,,
STORAGE,Picklist,,,,Storage,true,true,Storage,Storage,Storage Picklist,,,
SUBTYPE001,Picklist,,,Subscription Type - either Enterprise or Business,SubscriptionType,true,true,Subscription Type,Subscription Type,Subscription Type,,,
SUPPORT-LEVEL,Picklist,,Premium Support,,Support_Level,true,false,Support_Level,Support_Level,Support Level Picklist,,,
TRAINING,Picklist,,,,Training,true,false,Training,Training,Training Type Picklist,,,
WINDOWS-PROCESSOR,Picklist,,i5-CPU 4.4GHz,,Windows_Processor,true,true,Processor,Windows_Processor,Processor Picklist,,,
WIRELESS,Checkbox,,false,,Wireless,true,false,Wireless,Wireless,,,,
