$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.Name,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
STORAGE;CS001,STO,STORAGE,Storage,Cloud Storage Enterprise - 2 TB,,,,false,true,false,true,,,,,Storage,,CS001,Storage (Cloud Storage),,Active,,,
WIRELESS;KB001,CT001,WIRELESS,Wireless,true,,,,false,false,false,false,,,,,Wireless,,KB001,Wireless (Keyboard),,Active,,,
DISPLAY;LP001,DIS,DISPLAY,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,LP001,Display (Computer),,Active,,,
DISPLAY-SIZE;LP001,DIS,DISPLAY-SIZE,Screen Size,13 Inch,,,,false,true,false,true,,,,,Screen Size,,LP001,Screen Size (Computer),,Active,,,
GRAPHICS;LP001,GRA,GRAPHICS,Graphics,Intel Iris Xe Graphics,,,,false,true,false,false,,,,,Graphics,,LP001,Graphics,,Active,,,
MEMORY;LP001,MEM,MEMORY,Memory,RAM 8GB,,,,false,false,false,true,,,,,Memory,,LP001,Memory,,Active,,,
WINDOWS-PROCESSOR;LP001,PRO,WINDOWS-PROCESSOR,Processor,i5-CPU 4.4GHz,,,,false,true,false,true,,,,,Processor,,LP001,Processor,,Active,,,
STORAGE;LP001,STO,STORAGE,Storage,SSD Hard Drive 256GB,,,,false,false,false,true,,,,,Storage,,LP001,Storage (Computer),,Active,,,
DISPLAY;MO001,DIS,DISPLAY,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,MO001,Display (Monitor),,Active,,,
DISPLAY-SIZE;MO001,DIS,DISPLAY-SIZE,Screen Size,24 Inch,,,,false,true,false,true,,,,,Screen Size,,MO001,Screen Size (Monitor),,Active,,,
WIRELESS;MOU001,CT001,WIRELESS,Wireless,false,,,,false,true,false,false,,,,,Wireless,,MOU001,Wireless (Mouse),,Active,,,
SUBTYPE001;OF001,,SUBTYPE001,Subscription Type,Business,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,,OF001,Subscription Type (Software),,Active,,,
PAPER-SIZE;PP001,PP001,PAPER-SIZE,Paper Size,A4,,,,false,false,false,false,,,,,Paper Size,,PP001,Paper Size,,Active,,,
PRINTER;PRN001,P001,PRINTER,Printer Type,Laser,,,,false,true,false,false,,,,,Printer Type,,PRN001,Printer Type,,Active,,,
SUPPORT-LEVEL;SP001,SP001,SUPPORT-LEVEL,Support Level,Premium Support,,,,false,true,false,false,,,,,Support Level,,SP001,Support Level,,Active,,,
TRAINING;TRG001,T001,TRAINING,Training,Security Training,,,,false,true,false,false,,,,,Training,,TRG001,Training,,Active,,,
