$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
ACCESSORIES;EHD009,HC001,,EHD009,ACCESSORIES
ACCESSORIES;HDS001,HC001,,HDS001,ACCESSORIES
ACCESSORIES;KB001,HC001,,KB001,ACCESSORIES
ACCESSORIES;LBG001,HC001,,LBG001,ACCESSORIES
ACCESSORIES;LPST001,HC001,,LPST001,ACCESSORIES
ACCESSORIES;MO001,HC001,,MO001,ACCESSORIES
ACCESSORIES;MOU001,HC001,,MOU001,ACCESSORIES
ACCESSORIES;NCH025,HC001,,NCH025,ACCESSORIES
ACCESSORIES;PB001,HC001,,PB001,ACCESSORIES
ACCESSORIES;PP001,HC001,,PP001,ACCESSORIES
ACCESSORIES;PRN001,HC001,,PRN001,ACCESSORIES
ACCESSORIES;USB01,HC001,,USB01,ACCESSORIES
BASIC-USAGE-SERVICES;ANC01,SC001,,ANC01,BASIC-USAGE-SERVICES
BASIC-USAGE-SERVICES;ANC01-2,SC001,,ANC01-2,BASIC-USAGE-SERVICES
BASIC-USAGE-SERVICES;COMMITMENT-A,SC001,,COMMITMENT-A,BASIC-USAGE-SERVICES
BASIC-USAGE-SERVICES;COMMITMENT-B,SC001,,COMMITMENT-B,BASIC-USAGE-SERVICES
BASIC-USAGE-SERVICES;INTERNET-SERVICE,SC001,,INTERNET-SERVICE,BASIC-USAGE-SERVICES
BASIC-USAGE-SERVICES;IS001,SC001,,IS001,BASIC-USAGE-SERVICES
CLOUD-SERVICES;CLOUD001,SC001,,CLOUD001,CLOUD-SERVICES
CLOUD-SERVICES;CLOUD001-2,SC001,,CLOUD001-2,CLOUD-SERVICES
CLOUD-SERVICES;CLOUD002,SC001,,CLOUD002,CLOUD-SERVICES
CLOUD-SERVICES;CS001,SC001,,CS001,CLOUD-SERVICES
CLOUD-SERVICES;DEF001,SC001,,DEF001,CLOUD-SERVICES
CLOUD-SERVICES;EAS098781A,SC001,,EAS098781A,CLOUD-SERVICES
CLOUD-SERVICES;EAS1001,SC001,,EAS1001,CLOUD-SERVICES
CLOUD-SERVICES;PVS9876,SC001,,PVS9876,CLOUD-SERVICES
CLOUD-SERVICES;QP001,SC001,,QP001,CLOUD-SERVICES
CLOUD-SERVICES;SBP10907,SC001,,SBP10907,CLOUD-SERVICES
DESKTOPS;DS001,HC001,,DS001,DESKTOPS
LAPTOPS;LB001,HC001,,LB001,LAPTOPS
LAPTOPS;LP001,HC001,,LP001,LAPTOPS
LAPTOPS;LPB001,HC001,,LPB001,LAPTOPS
LAPTOPS;LPB001-2,HC001,,LPB001-2,LAPTOPS
PHONE-PLANS;ATTM001,SC001,,ATTM001,PHONE-PLANS
PHONE-PLANS;ATTMB001,SC001,,ATTMB001,PHONE-PLANS
PHONE-PLANS;ATTSMS07,SC001,,ATTSMS07,PHONE-PLANS
PODCAST;PS001,MED001,,PS001,PODCAST
PRODUCTIVITY-SOFTWARE;FIG001,SF001,,FIG001,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;GPTW001,SF001,,GPTW001,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;GW001,SF001,,GW001,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;LCD001,SF001,,LCD001,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;QBO0021,SF001,,QBO0021,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;SLKDPP007,SF001,,SLKDPP007,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;SLKDPP008,SF001,,SLKDPP008,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;SLKDPP009,SF001,,SLKDPP009,PRODUCTIVITY-SOFTWARE
PRODUCTIVITY-SOFTWARE;SLKSRC001,SF001,,SLKSRC001,PRODUCTIVITY-SOFTWARE
PROTECTION-SOFTWARE;AV001,SF001,,AV001,PROTECTION-SOFTWARE
SUPPORT;LCP001,SC001,,LCP001,SUPPORT
SUPPORT;MAIN0098,SC001,,MAIN0098,SUPPORT
SUPPORT;PM002,SC001,,PM002,SUPPORT
SUPPORT;SP001,SC001,,SP001,SUPPORT
SURVEILLANCE;SSS001,SC001,,SSS001,SURVEILLANCE
TC00902A;KTC677R,TMC00A10,,KTC677R,TC00902A
TC00902A;PUP001A45,TMC00A10,,PUP001A45,TC00902A
TC00902A;TIM12367,TMC00A10,,TIM12367,TC00902A
TC00902A;TIM235A7,TMC00A10,,TIM235A7,TC00902A
TC00902A;TIM67542E,TMC00A10,,TIM67542E,TC00902A
TC00902A;TIMB893AB45,TMC00A10,,TIMB893AB45,TC00902A
TC00902A;VIL8899089,TMC00A10,,VIL8899089,TC00902A
TRAINING;ACERT001,SC001,,ACERT001,TRAINING
TRAINING;APTRG001,SC001,,APTRG001,TRAINING
TRAINING;ASTCERT001,SC001,,ASTCERT001,TRAINING
TRAINING;ATRG001,SC001,,ATRG001,TRAINING
TRAINING;CERT007,SC001,,CERT007,TRAINING
TRAINING;DCERT001,SC001,,DCERT001,TRAINING
TRAINING;LLMCERT001,SC001,,LLMCERT001,TRAINING
TRAINING;LLMTRG001,SC001,,LLMTRG001,TRAINING
TRAINING;PCERT001,SC001,,PCERT001,TRAINING
TRAINING;SDP001,SC001,,SDP001,TRAINING
TRAINING;TPP01,SC001,,TPP01,TRAINING
TRAINING;TRG001,SC001,,TRG001,TRAINING
TRAINING;UA001,SC001,,UA001,TRAINING
WARRANTY;W001,SC001,,W001,WARRANTY
