AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
DIS,DISPLAY,Display,1080p Built-in Display,,,,false,false,false,true,,,,,Display (Computer),CMP001,,Active,,,
DIS,DISPLAY-SIZE,Screen Size,,,,,false,false,false,true,,,,,Screen Size (Computer),CMP001,,Active,,,
GRA,GRAPHICS,Graphics,,,,,false,false,false,false,,,,,Graphics,CMP001,,Active,,,
MEM,MEMORY,Memory,RAM 32GB,,,,false,false,false,true,,,,,Memory,CMP001,,Active,,,
STO,STORAGE,Storage,,,,,false,false,false,true,,,,,Storage (Computer),CMP001,,Active,,,
PRO,WINDOWS-PROCESSOR,Processor,i5-CPU 4.4GHz,,,,false,false,false,true,,,,,Processor,CMP001,,Active,,,
STO,STORAGE,Storage,,,,,false,false,false,true,,,,,Storage (Cloud Storage),CS001,,Active,,,
CT001,WIRELESS,Wireless,true,,,,false,false,false,false,,,,,Wireless (Keyboard),KB001,,Active,,,
CT001,WIRELESS,Wireless,true,,,,false,false,false,false,,,,,Wireless (Mouse),M001,,Active,,,
,SUBTYPE001,Subscription Type,,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type (Media),MED01,,Active,,,
DIS,DISPLAY,Display,1080p Built-in Display,,,,false,false,false,true,,,,,Display (Monitor),MN001,,Active,,,
DIS,DISPLAY-SIZE,Screen Size,,,,,false,false,false,true,,,,,Screen Size (Monitor),MN001,,Active,,,
PP001,PAPER-SIZE,Paper Size,,,,,false,false,false,false,,,,,Paper Size,P001,,Active,,,
P001,PRINTER,Printer Type,,,,,false,false,false,false,,,,,Printer Type,PR001,,Active,,,
,SUBTYPE001,Subscription Type,Business,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type (Software),SFT001,,Active,,,
SP001,SUPPORT-LEVEL,Support Level,Premium Support,,,,false,false,false,false,,,,,Support Level,SL001,,Active,,,
TC009C67,GEL-QUANTITY,Gel Quantity,,,,,false,true,false,false,,,,,Gel Quantity,TCM0091A4,,Active,,GRAMS,
TC009C67,POWDER-WEIGHT,Powder Weight,,,,,false,true,false,false,,,,,Powder Weight,TCM0091A4,,Active,,KG,
PSR67832,PCR0090CD,Paste Ratio,,,,,false,true,false,false,,,,,Paste Ratio,TIM00001,,Active,,ML,
T001,TRAINING,Training,,,,,false,false,false,false,,,,,Training,TL001,,Active,,,
