$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;ACERT001;PCERT001;CERTIFICATIONS;Bundle to Bundle Component Relationship,ACERT001,,BundleComponent,,true,true,true,false,,,PCERT001,Bundle,,CERTIFICATIONS,Bundle to Bundle Component Relationship,1,Proportional,,,
;APTRG001;SDP001;SKILL-DEVELOPMENT;Bundle to Bundle Component Relationship,APTRG001,,BundleComponent,,true,true,true,false,,,SDP001,Bundle,,SKILL-DEVELOPMENT,Bundle to Bundle Component Relationship,1,Proportional,,,
;ASTCERT001;CERT007;;Bundle to Bundle Component Relationship,ASTCERT001,,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,CERT007,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,,,
;ATTMB001;ATTM001;AT-T-MOBILE-GROUP;Bundle to Bundle Component Relationship,ATTMB001,,BundleComponent,,false,true,true,true,,1,ATTM001,Bundle,,AT-T-MOBILE-GROUP,Bundle to Bundle Component Relationship,1,,,,
;ATTSMS07;ATTM001;AT-T-MOBILE-GROUP;Bundle to Bundle Component Relationship,ATTSMS07,,BundleComponent,,false,false,false,true,3,,ATTM001,Bundle,,AT-T-MOBILE-GROUP,Bundle to Bundle Component Relationship,1,,,,
;AV001;LB001;COMPUTER-PROTECTION;Bundle to Bundle Component Relationship,AV001,,BundleComponent,,true,true,true,false,,,LB001,Bundle,,COMPUTER-PROTECTION,Bundle to Bundle Component Relationship,1,Proportional,,,
;CERT007;PCERT001;CERTIFICATIONS;Bundle to Bundle Component Relationship,CERT007,,BundleComponent,,false,false,false,false,,,PCERT001,Bundle,,CERTIFICATIONS,Bundle to Bundle Component Relationship,1,Proportional,,,
;DCERT001;PCERT001;CERTIFICATIONS;Bundle to Bundle Component Relationship,DCERT001,,BundleComponent,,true,true,true,false,,,PCERT001,Bundle,,CERTIFICATIONS,Bundle to Bundle Component Relationship,1,Proportional,,,
;EAS1001;EAS098781A;ANALYTICS;Bundle to Bundle Component Relationship,EAS1001,,BundleComponent,,true,false,true,false,,,EAS098781A,Bundle,,ANALYTICS,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;EHD009;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,EHD009,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,10,
