$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
ACERT001;Term Based - Yearly;TermDefined,true,ACERT001,Term Based - Yearly;TermDefined,Default Proration Policy
ANC01;Term Based - Monthly;TermDefined,true,ANC01,Term Based - Monthly;TermDefined,Default Proration Policy
ANC01-2;Term Based - Monthly;TermDefined,true,ANC01-2,Term Based - Monthly;TermDefined,Default Proration Policy
APTRG001;One Time;OneTime,true,APTRG001,One Time;OneTime,
ASTCERT001;Term Based - Yearly;TermDefined,true,ASTCERT001,Term Based - Yearly;TermDefined,Default Proration Policy
ATRG001;Term Based - Yearly;TermDefined,true,ATRG001,Term Based - Yearly;TermDefined,Default Proration Policy
ATTMB001;Term Based - Monthly;TermDefined,true,ATTMB001,Term Based - Monthly;TermDefined,Default Proration Policy
ATTSMS07;One Time;OneTime,true,ATTSMS07,One Time;OneTime,
AV001;Evergreen - Yearly;Evergreen,true,AV001,Evergreen - Yearly;Evergreen,Default Proration Policy
CERT007;Term Based - Yearly;TermDefined,true,CERT007,Term Based - Yearly;TermDefined,Default Proration Policy
CLOUD001;Term Based - Monthly;TermDefined,true,CLOUD001,Term Based - Monthly;TermDefined,Default Proration Policy
CLOUD001-2;Term Based - Monthly;TermDefined,true,CLOUD001-2,Term Based - Monthly;TermDefined,Default Proration Policy
CLOUD002;Term Based - Monthly;TermDefined,true,CLOUD002,Term Based - Monthly;TermDefined,Default Proration Policy
COMMITMENT-A;Term Based - Monthly;TermDefined,true,COMMITMENT-A,Term Based - Monthly;TermDefined,Default Proration Policy
COMMITMENT-B;Term Based - Monthly;TermDefined,true,COMMITMENT-B,Term Based - Monthly;TermDefined,Default Proration Policy
CS001;Evergreen - Monthly;Evergreen,true,CS001,Evergreen - Monthly;Evergreen,Default Proration Policy
DCERT001;Term Based - Yearly;TermDefined,true,DCERT001,Term Based - Yearly;TermDefined,Default Proration Policy
DEF001;Term Based - Monthly;TermDefined,true,DEF001,Term Based - Monthly;TermDefined,Default Proration Policy
DS001;One Time;OneTime,true,DS001,One Time;OneTime,
EAS098781A;Evergreen - Yearly;Evergreen,true,EAS098781A,Evergreen - Yearly;Evergreen,Default Proration Policy
EAS1001;Evergreen - Monthly;Evergreen,true,EAS1001,Evergreen - Monthly;Evergreen,Default Proration Policy
EHD009;One Time;OneTime,true,EHD009,One Time;OneTime,
FIG001;Term Based - Semi-Annual;TermDefined,true,FIG001,Term Based - Semi-Annual;TermDefined,Default Proration Policy
GPTW001;Term Based - Monthly;TermDefined,true,GPTW001,Term Based - Monthly;TermDefined,Default Proration Policy
GW001;Term Based - Monthly;TermDefined,true,GW001,Term Based - Monthly;TermDefined,Default Proration Policy
HDS001;One Time;OneTime,true,HDS001,One Time;OneTime,
INTERNET-SERVICE;Term Based - Monthly;TermDefined,true,INTERNET-SERVICE,Term Based - Monthly;TermDefined,Default Proration Policy
IS001;One Time;OneTime,true,IS001,One Time;OneTime,
IS001;Term Based - Monthly;TermDefined,false,IS001,Term Based - Monthly;TermDefined,Default Proration Policy
KB001;One Time;OneTime,true,KB001,One Time;OneTime,
KTC677R;One Time;OneTime,true,KTC677R,One Time;OneTime,
KTC677R;Term Based - Yearly;TermDefined,false,KTC677R,Term Based - Yearly;TermDefined,Default Proration Policy
LA001;One Time;OneTime,true,LA001,One Time;OneTime,
LB001;One Time;OneTime,true,LB001,One Time;OneTime,
LBG001;One Time;OneTime,true,LBG001,One Time;OneTime,
LCD001;Term Based - Monthly;TermDefined,true,LCD001,Term Based - Monthly;TermDefined,Default Proration Policy
LCP001;Term Based - Monthly;TermDefined,true,LCP001,Term Based - Monthly;TermDefined,Default Proration Policy
LLMCERT001;Term Based - Yearly;TermDefined,true,LLMCERT001,Term Based - Yearly;TermDefined,Default Proration Policy
LLMTRG001;One Time;OneTime,true,LLMTRG001,One Time;OneTime,
LP001;One Time;OneTime,true,LP001,One Time;OneTime,
LPB001;One Time;OneTime,true,LPB001,One Time;OneTime,
LPB001-2;One Time;OneTime,true,LPB001-2,One Time;OneTime,
LPST001;One Time;OneTime,true,LPST001,One Time;OneTime,
MAIN0098;Term Based - Monthly;TermDefined,true,MAIN0098,Term Based - Monthly;TermDefined,Default Proration Policy
MO001;One Time;OneTime,true,MO001,One Time;OneTime,
MOU001;One Time;OneTime,true,MOU001,One Time;OneTime,
NCH025;One Time;OneTime,true,NCH025,One Time;OneTime,
OF001;Term Based - Monthly;TermDefined,true,OF001,Term Based - Monthly;TermDefined,Default Proration Policy
PB001;One Time;OneTime,true,PB001,One Time;OneTime,
PCERT001;Term Based - Yearly;TermDefined,true,PCERT001,Term Based - Yearly;TermDefined,Default Proration Policy
PM002;Evergreen - Quarterly;Evergreen,true,PM002,Evergreen - Quarterly;Evergreen,Default Proration Policy
PP001;One Time;OneTime,true,PP001,One Time;OneTime,
PRN001;One Time;OneTime,true,PRN001,One Time;OneTime,
PS001;Term Based - Quarterly;TermDefined,true,PS001,Term Based - Quarterly;TermDefined,Default Proration Policy
PUP001A45;One Time;OneTime,true,PUP001A45,One Time;OneTime,
PVS9876;Term Based - Yearly;TermDefined,true,PVS9876,Term Based - Yearly;TermDefined,Default Proration Policy
QBO0021;Term Based - Yearly;TermDefined,true,QBO0021,Term Based - Yearly;TermDefined,Default Proration Policy
QP001;Term Based - Monthly;TermDefined,true,QP001,Term Based - Monthly;TermDefined,Default Proration Policy
SBP10907;One Time;OneTime,true,SBP10907,One Time;OneTime,
SDP001;Term Based - Yearly;TermDefined,true,SDP001,Term Based - Yearly;TermDefined,Default Proration Policy
SLKDPP007;Evergreen - Yearly;Evergreen,false,SLKDPP007,Evergreen - Yearly;Evergreen,Default Proration Policy
SLKDPP007;Term Based - Monthly;TermDefined,true,SLKDPP007,Term Based - Monthly;TermDefined,Default Proration Policy
SLKDPP008;Term Based - Monthly;TermDefined,true,SLKDPP008,Term Based - Monthly;TermDefined,Default Proration Policy
SLKDPP009;Term Based - Monthly;TermDefined,true,SLKDPP009,Term Based - Monthly;TermDefined,Default Proration Policy
SLKSRC001;Term Based - Monthly;TermDefined,true,SLKSRC001,Term Based - Monthly;TermDefined,Default Proration Policy
SP001;Evergreen - Yearly;Evergreen,false,SP001,Evergreen - Yearly;Evergreen,Default Proration Policy
SP001;Term Based - Monthly;TermDefined,true,SP001,Term Based - Monthly;TermDefined,Default Proration Policy
SSS001;Evergreen - Semi-Annual;Evergreen,true,SSS001,Evergreen - Semi-Annual;Evergreen,Default Proration Policy
TIM12367;One Time;OneTime,true,TIM12367,One Time;OneTime,
TIM235A7;One Time;OneTime,true,TIM235A7,One Time;OneTime,
TIM67542E;One Time;OneTime,true,TIM67542E,One Time;OneTime,
TIMB893AB45;One Time;OneTime,true,TIMB893AB45,One Time;OneTime,
TIMB893AB45;Term Based - Monthly;TermDefined,false,TIMB893AB45,Term Based - Monthly;TermDefined,Default Proration Policy
TPP01;Evergreen - Yearly;Evergreen,true,TPP01,Evergreen - Yearly;Evergreen,Default Proration Policy
TRG001;Term Based - Monthly;TermDefined,true,TRG001,Term Based - Monthly;TermDefined,Default Proration Policy
UA001;Evergreen - Monthly;Evergreen,true,UA001,Evergreen - Monthly;Evergreen,Default Proration Policy
USB01;One Time;OneTime,true,USB01,One Time;OneTime,
VIL8899089;One Time;OneTime,true,VIL8899089,One Time;OneTime,
W001;Term Based - Yearly;TermDefined,true,W001,Term Based - Yearly;TermDefined,Default Proration Policy
