ConversionFactor,Description,Name,RoundingMethod,Scale,Sequence,Status,Type,UnitCode,UnitOfMeasureClass.Code
1,,ACCTS,,,2,Active,Count,ACCTS,COUNT
,,Basic: GB,,,,Active,Storage,BASIC-GB,GB
,,Basic: Data Units,,,,Active,Storage,Basic: Data Units,DSU
1,,CALLS,,,4,Active,Count,CALLS,COUNT
1,,Count,,,1,Active,Count,Count,SMS01
1,,Each,,,1,Active,Count,Each,CAS01
0.001,Unit of measure for Data,GB,,,2,Active,Memory,GB,DAT01
1000,,Grams,Up,5,1,Active,Weight,GRAMS,Grams
0.001,,Kilograms,Up,3,2,Active,Weight,KG,Grams
1,,Litre,Down,4,1,Active,Litre,LITRE,Litre
1,,LOGS,,,3,Active,Count,LOGS,COUNT
1,,MB,,,1,Active,Memory,MB,DAT01
1,,Minutes,,,1,Active,Time,MIN,CALLUNITS01
0.001,,Millilitres,Down,5,2,Active,Litre,ML,Litre
1,,SESH,,,5,Active,Count,SESH,COUNT
1,,TPS,,,6,Active,Count,TPS,COUNT
1,,USD,,,1,Active,Cost,USD,CURRENCY
1,,XFER,,,1,Active,Count,XFER,COUNT
