$$AttributeBasedAdjRule.Name$AttributeDefinition.Code$Product.StockKeepingUnit,AttributeBasedAdjRule.Name,AttributeDefinition.Code,BooleanValue,DateTimeValue,DateValue,DoubleValue,IntegerValue,Operator,Product.StockKeepingUnit,StringValue
Rule_1700199014867;PRINTER;PRN001,Rule_1700199014867,PRINTER,,,,,,equals,PRN001,Inkjet
Rule_1700199044009;PRINTER;PRN001,Rule_1700199044009,PRINTER,,,,,,equals,PRN001,Laser
Rule_1700199112947;TRAINING;TRG001,Rule_1700199112947,TRAINING,,,,,,equals,TRG001,Security Training
Rule_1700199202093;TRAINING;TRG001,Rule_1700199202093,TRAINING,,,,,,equals,TRG001,Software Training
Rule_1700199261191;WIRELESS;MOU001,Rule_1700199261191,WIRELESS,True,,,,,equals,MOU001,
Rule_1700633112004;STORAGE;CS001,Rule_1700633112004,STORAGE,,,,,,equals,CS001,Cloud Storage Enterprise - 6 TB
Rule_1701391285463;WIRELESS;MOU001,Rule_1701391285463,WIRELESS,True,,,,,equals,MOU001,
Rule_1701995193647;SUPPORT-LEVEL;SP001,Rule_1701995193647,SUPPORT-LEVEL,,,,,,equals,SP001,Premium Plus Support
Rule_1702357862046;WIRELESS;MOU001,Rule_1702357862046,WIRELESS,True,,,,,equals,MOU001,
Rule_1702357916535;PRINTER;PRN001,Rule_1702357916535,PRINTER,,,,,,equals,PRN001,Inkjet
Rule_1702358038935;SUPPORT-LEVEL;SP001,Rule_1702358038935,SUPPORT-LEVEL,,,,,,equals,SP001,Premium Plus Support
Rule_1702358235675;TRAINING;TRG001,Rule_1702358235675,TRAINING,,,,,,equals,TRG001,Software Training
Rule_1733119980236;GEL-QUANTITY;KTC677R,Rule_1733119980236,GEL-QUANTITY,,,,500.5125,,equals,KTC677R,
Rule_1733119980236;POWDER-WEIGHT;KTC677R,Rule_1733119980236,POWDER-WEIGHT,,,,3.5,,equals,KTC677R,
