$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
ACERT001;Term Based - Yearly;USD,USD,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,2000
ACERT001;Term Based - Yearly;SEK,SEK,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,21300
ACERT001;Term Based - Yearly;JPY,JPY,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,298440
ACERT001;Term Based - Yearly;INR,INR,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,167920
ACERT001;Term Based - Yearly;GBP,GBP,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,1580
ACERT001;Term Based - Yearly;EUR,EUR,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,1920
ACERT001;Term Based - Yearly;CAD,CAD,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,2840
ACERT001;Term Based - Yearly;BRL,BRL,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,11480
ACERT001;Term Based - Yearly;AUD,AUD,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,3140
ACERT001;Term Based - Yearly;AED,AED,true,false,Admin Certification,Standard Price Book;true,ACERT001,Term Based - Yearly;TermDefined,7340
ANC01;Term Based - Monthly;USD,USD,true,false,Anchor Product with Token,Standard Price Book;true,ANC01,Term Based - Monthly;TermDefined,30
ANC01-2;Term Based - Monthly;USD,USD,true,false,Anchor C,Standard Price Book;true,ANC01-2,Term Based - Monthly;TermDefined,30
APTRG001;One Time;USD,USD,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,1500
APTRG001;One Time;SEK,SEK,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,15975
APTRG001;One Time;JPY,JPY,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,223830
APTRG001;One Time;INR,INR,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,125940
APTRG001;One Time;GBP,GBP,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,1185
APTRG001;One Time;EUR,EUR,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,1440
APTRG001;One Time;CAD,CAD,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,2130
APTRG001;One Time;BRL,BRL,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,8610
APTRG001;One Time;AUD,AUD,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,2355
APTRG001;One Time;AED,AED,true,false,AI Specialist Training,Standard Price Book;true,APTRG001,One Time;OneTime,5505
