$$Product.StockKeepingUnit$RateCardEntry.RateCard.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code$LowerBound$UpperBound,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
CLOUD001-2;API Access Premium Tier Rate Card;USD;API002;0;100,Override,0.090123,2024-08-22T06:13:00.000+0000,,0,CLOUD001-2,Term Based - Monthly,CLOUD001-2;API Access Premium Tier Rate Card;API002;USD,Active,USD,USD,100,Data Transfers
CLOUD001-2;API Access Premium Tier Rate Card;USD;API002;101;200,Percentage,0.085,2024-08-22T06:13:00.000+0000,,101,CLOUD001-2,Term Based - Monthly,CLOUD001-2;API Access Premium Tier Rate Card;API002;USD,Active,USD,USD,200,Data Transfers
CLOUD001-2;API Access Premium Tier Rate Card;USD;API002;201;300,Amount,0.080456,2024-08-22T06:13:00.000+0000,,201,CLOUD001-2,Term Based - Monthly,CLOUD001-2;API Access Premium Tier Rate Card;API002;USD,Active,USD,USD,300,Data Transfers
CLOUD001-2;API Access Premium Tier Rate Card;USD;API002;301;400,Override,0.075,2024-08-22T06:13:00.000+0000,,301,CLOUD001-2,Term Based - Monthly,CLOUD001-2;API Access Premium Tier Rate Card;API002;USD,Active,USD,USD,400,Data Transfers
CLOUD001-2;API Access Premium Tier Rate Card;USD;API002;401;500,Percentage,0.070789,2024-08-22T06:13:00.000+0000,,401,CLOUD001-2,Term Based - Monthly,CLOUD001-2;API Access Premium Tier Rate Card;API002;USD,Active,USD,USD,500,Data Transfers
COMMITMENT-A;Commitment Rate Card - Tiers;Basic: Data Units;DS;10000;,Percentage,10,2025-01-01T20:00:00.000+0000,,10000,COMMITMENT-A,Term Based - Monthly,COMMITMENT-A;Commitment Rate Card - Tiers;DS;Basic: Data Units,Active,Basic: Data Units,Basic: Data Units,,Basic: Data Storage
COMMITMENT-A;Commitment Rate Card - Tiers;Basic: Data Units;DS;0;10000,Percentage,10,2025-01-01T20:00:00.000+0000,,0,COMMITMENT-A,Term Based - Monthly,COMMITMENT-A;Commitment Rate Card - Tiers;DS;Basic: Data Units,Active,Basic: Data Units,Basic: Data Units,10000,Basic: Data Storage
COMMITMENT-A;Commitment Rate Card - Tiers;USD;DSU;0;,Percentage,10,2025-01-01T20:00:00.000+0000,,0,COMMITMENT-A,Term Based - Monthly,COMMITMENT-A;Commitment Rate Card - Tiers;DSU;USD,Active,USD,USD,,Basic: Data Storage Units
COMMITMENT-B;Commitment Rate Card - Tiers;Basic: Data Units;DS;0;5000,Percentage,20,2025-01-01T20:00:00.000+0000,,0,COMMITMENT-B,Term Based - Monthly,COMMITMENT-B;Commitment Rate Card - Tiers;DS;Basic: Data Units,Active,Basic: Data Units,Basic: Data Units,5000,Basic: Data Storage
COMMITMENT-B;Commitment Rate Card - Tiers;Basic: Data Units;DS;5000;,Percentage,20,2025-01-01T20:00:00.000+0000,,5000,COMMITMENT-B,Term Based - Monthly,COMMITMENT-B;Commitment Rate Card - Tiers;DS;Basic: Data Units,Active,Basic: Data Units,Basic: Data Units,,Basic: Data Storage
COMMITMENT-B;Commitment Rate Card - Tiers;USD;DSU;0;,Percentage,30,2025-01-01T20:00:00.000+0000,,0,COMMITMENT-B,Term Based - Monthly,COMMITMENT-B;Commitment Rate Card - Tiers;DSU;USD,Active,USD,USD,,Basic: Data Storage Units
INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;USD;DS;101;150,Amount,15,2025-01-01T20:00:00.000+0000,,101,INTERNET-SERVICE,Term Based - Monthly,INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;DS;USD,Active,USD,USD,150,Basic: Data Storage
INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;USD;DS;51;100,Amount,10,2025-01-01T20:00:00.000+0000,,51,INTERNET-SERVICE,Term Based - Monthly,INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;DS;USD,Active,USD,USD,100,Basic: Data Storage
INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;USD;DS;0;50,Amount,5,2025-01-01T20:00:00.000+0000,,0,INTERNET-SERVICE,Term Based - Monthly,INTERNET-SERVICE;Basic: Internet Service Rate Card - Tier;DS;USD,Active,USD,USD,50,Basic: Data Storage
