Name,ProductCode,StockKeepingUnit,UsageModelType
Admin Certification,ACERT001,ACERT001,
Anchor Product with Token,ANC01,ANC01,Anchor
Anchor C,ANC01-2,ANC01-2,Anchor
Anchor C - Billing,ANCHOR-C-BILLING,ANCHOR-C-BILLING,
Anchor Product with token - Billing,ANCHOR-PRODUCT-WITH-TOKEN-BILLING,ANCHOR-PRODUCT-WITH-TOKEN-BILLING,
AI Specialist Training,APTRG001,APTRG001,
AI Specialist Certification,ASTCERT001,ASTCERT001,
Advanced Training,ATRG001,ATRG001,
AT&T Mobile Bundle,ATTM001,ATTM001,
AT&T Mobile Plan,ATTMB001,ATTMB001,Anchor
AT&T Add On for SMS,ATTSMS07,ATTSMS07,Pack
Antivirus,AV001,AV001,
Specialized Certifications,CERT007,CERT007,
Cloud Storage Pro,CLOUD001,CLOUD001,Anchor
API Access Premium,CLOUD001-2,CLOUD001-2,Anchor
Data Access Basic,CLOUD002,CLOUD002,Anchor
Commitment - A,COMMITMENT-A,COMMITMENT-A,Commit
Commitment - B,COMMITMENT-B,COMMITMENT-B,Commit
Cloud Storage,CS001,CS001,
Developer Certification,DCERT001,DCERT001,
API Access Premium Definition Product,DEF001,DEF001,
Desktop,DS001,DS001,
Elastic Analytics Suite (EAS) Bundle,EAS098781A,EAS098781A,Anchor
Elastic Analytics Suite (EAS),EAS1001,EAS1001,Anchor
External Hard Drive,EHD009,EHD009,
Figma Subscription,FIG001,FIG001,
GPT for workspace,GPTW001,GPTW001,
Google Workspace,GW001,GW001,
Headset,HDS001,HDS001,
Internet Service,INTERNET-SERVICE,INTERNET-SERVICE,Anchor
Internet Service-Billing Product,INTERNET-SERVICE-BILLING-PRODUCT,INTERNET-SERVICE-BILLING-PRODUCT,
Internet Service - Pack,IS001,IS001,Pack
Keyboard,KB001,KB001,
Kyocera Thermal Compound,KTC677R,KTC677R,
Laptop Accessories,LA001,LA001,
Laptop Basic Bundle,LB001,LB001,
Laptop Bag,LBG001,LBG001,
Lucidchart,LCD001,LCD001,
Laptop Care Package,LCP001,LCP001,
LLM Certification,LLMCERT001,LLMCERT001,
Machine Learning Model Training,LLMTRG001,LLMTRG001,
Laptop,LP001,LP001,
Laptop Pro Bundle,LPB001,LPB001,
Laptop Productivity Bundle,LPB001-2,LPB001-2,
Laptop Stand,LPST001,LPST001,
Hardware Maintenance,MAIN0098,MAIN0098,
Monitor,MO001,MO001,
Mouse,MOU001,MOU001,
Noise-Canceling Headphones,NCH025,NCH025,
Office 365,OF001,OF001,
Printer Bundle,PB001,PB001,
Professional Certifications,PCERT001,PCERT001,
Printer Maintenance,PM002,PM002,
Printer Paper,PP001,PP001,
Printer,PRN001,PRN001,
Podcast Subscription,PS001,PS001,
Purified Aluminium Powder,PUP001A45,PUP001A45,
Pro Visualization Suite,PVS9876,PVS9876,Pack
Quickbooks Online,QBO0021,QBO0021,
Quip,QP001,QP001,
Storage Boost Pack,SBP10907,SBP10907,Pack
Skill Development Package,SDP001,SDP001,
Slack Support,SLKDPP007,SLKDPP007,
Slack Training,SLKDPP008,SLKDPP008,
Slack Sandbox,SLKDPP009,SLKDPP009,
Slack,SLKSRC001,SLKSRC001,
Support,SP001,SP001,
Security Systems Surveillance,SSS001,SSS001,
Fluid Film Corrosion Inhibitor,TIM12367,TIM12367,
Propylene Glycol,TIM235A7,TIM235A7,
EasyDye,TIM67542E,TIM67542E,
Data Center Bundle,TIMB893AB45,TIMB893AB45,
Training Platform Package,TPP01,TPP01,
Basic Training,TRG001,TRG001,
Udemy Access,UA001,UA001,
USB C multiport adapter hub with 4K HDMI,USB01,USB01,
Vaseline Gel,VIL8899089,VIL8899089,
Warranty,W001,W001,
