DrawdownOrder,EffectiveEndDate,EffectiveStartDate,Label,OverageChargeable,ProductUsageResource.Product.StockKeepingUnit,ProductUsageResource.UsageResource.Code,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,Type,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,ValidityPeriodTerm,ValidityPeriodUnit
,,2024-08-19T00:00:00.000+0000,Grant for Support,No,,,5,URRENEW01,URROLL01,Draft,,Each,CAS01,,1,Year
ExpiringFirst,,2025-02-21T14:30:00.000+0000,Subscription Add-On,,,,1,,,Draft,,LOGS,COUNT,,1,Year
ExpiringFirst,,2025-02-21T13:15:00.000+0000,5 Analytics Jobs/Month,No,,,5,,,Draft,,TPS,COUNT,,0,Month
ExpiringFirst,,2025-02-21T13:15:00.000+0000,10 GB Data Storage,,,,10,,,Draft,,GB,DAT01,,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,ANC01,DSU,200,REF01,,Draft,Grant,Basic: Data Units,DSU,,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,COMMITMENT-A,DSU,10000,REF01,,Draft,Commit,Basic: Data Units,DSU,,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,COMMITMENT-B,DSU,5000,REF01,,Draft,Commit,Basic: Data Units,DSU,,1,Month
ExpiringFirst,,2024-08-19T00:00:00.000+0000,Grant for SMS Add On,,,,100,URRENEW01,URROLL01,Draft,,Count,SMS01,,1,Month
,,2024-08-19T00:00:00.000+0000,Grant for SMS,No,,,200,URRENEW01,URROLL01,Draft,,Count,SMS01,,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,PPU,,ANC01-2,DS,500,REF01,,Draft,Grant,BASIC-GB,GB,ANCHOR-C-BILLING,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,ANC01,DS,100,REF01,,Draft,Grant,BASIC-GB,GB,ANCHOR-PRODUCT-WITH-TOKEN-BILLING,1,Month
,,2024-08-19T00:00:00.000+0000,Grant for Calls,Yes,,,1000,URRENEW01,URROLL01,Draft,,MIN,CALLUNITS01,ATTMB001,1,Month
,,2024-08-19T00:00:00.000+0000,AT&T Mobile Plan - Data,Yes,,,50,URRENEW01,URROLL01,Draft,,GB,DAT01,ATTMB001,1,Month
,,2024-08-22T00:00:00.000+0000,Account Grants,Yes,,,10,,,Draft,,ACCTS,COUNT,CLOUD001,0,None
,,2024-08-22T00:00:00.000+0000,Log Grant,Yes,,,1000,,,Draft,,LOGS,COUNT,CLOUD001,0,None
,,2024-08-22T00:00:00.000+0000,Transfer Grants,Yes,,,200,,,Draft,,XFER,COUNT,CLOUD001,0,None
,,2024-08-22T00:00:00.000+0000,Storage Grant,Yes,,,100,,,Draft,,GB,DAT01,CLOUD001,0,None
,,2024-08-22T00:00:00.000+0000,Backup Data,Yes,,,50,,,Draft,,GB,DAT01,CLOUD001,0,None
,,2024-08-22T00:00:00.000+0000,API Grant,Yes,,,1000,,,Draft,,CALLS,COUNT,DEF001,0,None
,,2024-08-22T00:00:00.000+0000,Error Log Grant,Yes,,,200,,,Draft,,LOGS,COUNT,DEF001,0,None
,,2024-08-22T00:00:00.000+0000,Session Grant,Yes,,,300,,,Draft,,SESH,COUNT,DEF001,0,None
,,2024-08-22T00:00:00.000+0000,Rate Limit Grant,Yes,,,100,,,Draft,,TPS,COUNT,DEF001,0,None
,,2024-08-22T00:00:00.000+0000,Transfer Grant,Yes,,,500,,,Draft,,GB,DAT01,DEF001,0,None
,,2024-08-26T00:00:00.000+0000,Transfer Grant,Yes,,,250,,,Draft,,GB,DAT01,DEF001,0,None
ExpiringFirst,,2025-02-21T13:30:00.000+0000,1 Visualization Dashboard,No,,,1,,,Draft,,LOGS,COUNT,EAS1001,0,Year
ExpiringFirst,,2025-02-21T14:00:00.000+0000,10 GB Data Storage,Yes,,,10,,,Draft,,GB,DAT01,EAS1001,1,Month
ExpiringFirst,,2025-02-21T14:00:00.000+0000,10 Data Exports/Month,Yes,,,10,,,Draft,,GB,DAT01,EAS1001,1,Month
ExpiringFirst,,2025-02-21T14:45:00.000+0000,Grant for Storage Data,Yes,,,10,,,Draft,,GB,DAT01,EAS1001,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,No,INTERNET-SERVICE,DS,100,REF01,,Draft,Grant,BASIC-GB,GB,INTERNET-SERVICE-BILLING-PRODUCT,1,Month
ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,IS001,DS,150,REF01,,Draft,Grant,BASIC-GB,GB,IS001,1,Month
