$$Product.StockKeepingUnit$UsageResource.Code,EffectiveEndDate,EffectiveStartDate,Product.StockKeepingUnit,Status,IsOptional,TokenResource.Code,UsageResource.Code
ANC01;DS,,2025-01-01T20:00:00.000+0000,ANC01,Draft,false,DSU,DS
ANC01;DSU,,2025-01-01T20:00:00.000+0000,ANC01,Draft,false,,DSU
ANC01-2;DS,,2025-01-01T20:00:00.000+0000,ANC01-2,Draft,false,DSU,DS
ANC01-2;DSU,,2025-01-01T20:00:00.000+0000,ANC01-2,Draft,false,,DSU
COMMITMENT-A;DS,,2025-01-01T20:00:00.000+0000,COMMITMENT-A,Draft,false,DSU,DS
COMMITMENT-A;DSU,,2025-01-01T20:00:00.000+0000,COMMITMENT-A,Draft,false,,DSU
COMMITMENT-B;DS,,2025-01-01T20:00:00.000+0000,COMMITMENT-B,Draft,false,DSU,DS
COMMITMENT-B;DSU,,2025-01-01T20:00:00.000+0000,COMMITMENT-B,Draft,false,,DSU
INTERNET-SERVICE;DS,,2025-01-01T20:00:00.000+0000,INTERNET-SERVICE,Draft,false,,DS
IS001;DS,,2025-01-01T20:00:00.000+0000,IS001,Draft,false,,DS
