Name,BillingPolicy.Name,CanChangeBillingFrequency,CurrencyIsoCode,Description,ExcludeFromBilling,IsMilestoneBilling,LegalEntity.Name,Status
Billing Treatment - USA - Advance,Billing Policy - Advance,true,USD,,No,false,Default Legal Entity - US,Draft
Billing Treatment - USA - Arrears,Billing Policy - Arrears,true,USD,,No,false,Default Legal Entity - US,Draft
Billing Treatment - Advance - Canada,Billing Policy - Advance,true,CAD,,No,false,Default Legal Entity - Canada,Draft
Billing Treatment - Canada - Arrears,Billing Policy - Arrears,true,CAD,,No,false,Default Legal Entity - Canada,Draft
Billing Treatment - EU - Advance,Billing Policy - Advance,true,EUR,,No,false,Default Legal Entity - EU,Draft
Billing Treatment - EU - Arrears,Billing Policy - Arrears,true,EUR,,No,false,Default Legal Entity - EU,Draft
Billing Treatment - UK - Advance,Billing Policy - Advance,true,GBP,,No,false,Default Legal Entity - UK,Draft
Billing Treatment - UK - Arrears,Billing Policy - Arrears,true,GBP,,No,false,Default Legal Entity - UK,Draft
Milestone Billing Treatment,Milestone Billing Policy - Software,true,USD,,No,true,,Draft
Billing Treatment - Australia - Advance,Billing Policy - Advance,true,AUD,,No,false,Default Legal Entity - Australia,Draft
Billing Treatment - Australia - Arrears,Billing Policy - Arrears,true,AUD,,No,false,Default Legal Entity - Australia,Draft
Billing Treatment - Switzerland - Advance,Billing Policy - Advance,true,CHF,,No,false,Default Legal Entity - Switzerland,Draft
Billing Treatment - Switzerland - Arrears,Billing Policy - Arrears,true,CHF,,No,false,Default Legal Entity - Switzerland,Draft
Billing Treatment - Japan - Advance,Billing Policy - Advance,true,JPY,,No,false,Default Legal Entity - Japan,Draft
Billing Treatment - Japan - Arrears,Billing Policy - Arrears,true,JPY,,No,false,Default Legal Entity - Japan,Draft
