$$Name$BillingTreatment.Name,BillingTreatment.Name,BillingType,Controller,CurrencyIsoCode,Description,FlatAmount,Handling0Amount,MilestoneStartDate,MilestoneStartDateOffset,MilestoneStartDateOffsetUnit,MilestoneType,Name,Percentage,ProcessingOrder,Sequencing,Status,Type
Billing Treatment Item - Advance - USA;Billing Treatment - USA - Advance,Billing Treatment - USA - Advance,Advance,BillingScheduleGroup,USD,,,CreateInvoice,,,,,Billing Treatment Item - Advance - USA,,1,Manual,Draft,Remainder
Billing Treatment - Advance - Canada;Billing Treatment - Advance - Canada,Billing Treatment - Advance - Canada,Advance,BillingScheduleGroup,CAD,,,CreateInvoice,,,,,Billing Treatment - Advance - Canada,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - USA;Billing Treatment - USA - Arrears,Billing Treatment - USA - Arrears,Arrears,BillingScheduleGroup,USD,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - USA,,1,Manual,Draft,Remainder
Billing Treatment Item - Canada - Arrears;Billing Treatment - Canada - Arrears,Billing Treatment - Canada - Arrears,Arrears,BillingScheduleGroup,CAD,,,CreateInvoice,,,,,Billing Treatment Item - Canada - Arrears,,1,Manual,Draft,Remainder
Billing Treatment Item - Advance - EU;Billing Treatment - EU - Advance,Billing Treatment - EU - Advance,Advance,BillingScheduleGroup,EUR,,,CreateInvoice,,,,,Billing Treatment Item - Advance - EU,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - EU;Billing Treatment - EU - Arrears,Billing Treatment - EU - Arrears,Arrears,BillingScheduleGroup,EUR,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - EU,,1,Manual,Draft,Remainder
Billing Treatment Item - Advance - UK;Billing Treatment - UK - Advance,Billing Treatment - UK - Advance,Advance,BillingScheduleGroup,GBP,,,CreateInvoice,,,,,Billing Treatment Item - Advance - UK,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - UK;Billing Treatment - UK - Arrears,Billing Treatment - UK - Arrears,Arrears,BillingScheduleGroup,GBP,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - UK,,1,Manual,Draft,Remainder
Configuration & Deployment;Milestone Billing Treatment,Milestone Billing Treatment,None,None,USD,Bill Remainder on Configuration & Deployment of software,,None,,,,Event,Configuration & Deployment,10,4,None,Draft,Percentage
Requirements Gathering;Milestone Billing Treatment,Milestone Billing Treatment,None,None,USD,Bill 10% on completion of Requirements Gathering,,None,OrderProductActivation,5,Days,Date,Requirements Gathering,10,1,None,Draft,Percentage
Design Completion;Milestone Billing Treatment,Milestone Billing Treatment,None,None,USD,Bill 20% on Design Completion,,None,OrderProductActivation,1,Months,Date,Design Completion,20,2,None,Draft,Percentage
Software Delivery;Milestone Billing Treatment,Milestone Billing Treatment,None,None,USD,Bill 50% on Software Delivery,,None,OrderProductActivation,4,Months,Date,Software Delivery,50,3,None,Draft,Percentage
Billing Treatment Item - Advance - Australia;Billing Treatment - Australia - Advance,Billing Treatment - Australia - Advance,Advance,BillingScheduleGroup,AUD,,,CreateInvoice,,,,,Billing Treatment Item - Advance - Australia,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - Australia;Billing Treatment - Australia - Arrears,Billing Treatment - Australia - Arrears,Arrears,BillingScheduleGroup,AUD,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - Australia,,1,Manual,Draft,Remainder
Billing Treatment Item - Advance - Switzerland;Billing Treatment - Switzerland - Advance,Billing Treatment - Switzerland - Advance,Advance,BillingScheduleGroup,CHF,,,CreateInvoice,,,,,Billing Treatment Item - Advance - Switzerland,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - Switzerland;Billing Treatment - Switzerland - Arrears,Billing Treatment - Switzerland - Arrears,Arrears,BillingScheduleGroup,CHF,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - Switzerland,,1,Manual,Draft,Remainder
Billing Treatment Item - Advance - Japan;Billing Treatment - Japan - Advance,Billing Treatment - Japan - Advance,Advance,BillingScheduleGroup,JPY,,,CreateInvoice,,,,,Billing Treatment Item - Advance - Japan,,1,Manual,Draft,Remainder
Billing Treatment Item - Arrears - Japan;Billing Treatment - Japan - Arrears,Billing Treatment - Japan - Arrears,Arrears,BillingScheduleGroup,JPY,,,CreateInvoice,,,,,Billing Treatment Item - Arrears - Japan,,1,Manual,Draft,Remainder
