BillingPolicy.Name,LegalEntity.Name,Name,Status
Billing Policy - Advance,Default Legal Entity - US,Billing Treatment - USA - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - US,Billing Treatment - USA - Arrears,Draft
Billing Policy - Advance,Default Legal Entity - Canada,Billing Treatment - Advance - Canada,Draft
Billing Policy - Arrears,Default Legal Entity - Canada,Billing Treatment - Canada - Arrears,Draft
Billing Policy - Advance,Default Legal Entity - EU,Billing Treatment - EU - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - EU,Billing Treatment - EU - Arrears,Draft
Billing Policy - Advance,Default Legal Entity - UK,Billing Treatment - UK - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - UK,Billing Treatment - UK - Arrears,Draft
Milestone Billing Policy - Software,,Milestone Billing Treatment,Draft
Billing Policy - Advance,Default Legal Entity - Australia,Billing Treatment - Australia - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - Australia,Billing Treatment - Australia - Arrears,Draft
Billing Policy - Advance,Default Legal Entity - Switzerland,Billing Treatment - Switzerland - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - Switzerland,Billing Treatment - Switzerland - Arrears,Draft
Billing Policy - Advance,Default Legal Entity - Japan,Billing Treatment - Japan - Advance,Draft
Billing Policy - Arrears,Default Legal Entity - Japan,Billing Treatment - Japan - Arrears,Draft
