Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.Code,ParentProduct.StockKeepingUnit,Sequence
PCG-QB-SRV-CPU,,1,1,Processor,,QB-BDL-R750,1
PCG-QB-SRV-HDD,,1,1,Hard Drive,,QB-BDL-R750,3
PCG-QB-SRV-NIC,,1,1,Network Adapter,,QB-BDL-R750,4
PCG-QB-SRV-RAM,,1,1,Memory Capacity,,QB-BDL-R750,2
PCG-QB-PS-ENGRESOURCES,,,,Engineering Resources,,QB-BDL-SRVC,1
PCG-QB-PS-PM,,,,Project Management,,QB-BDL-SRVC,2
PCG-QB-PS-SA,,,,Solution Architecture,,QB-BDL-SRVC,3
PCG-QBSTARTER-MAINT,,1,1,Maintenance,,QB-BDL-STND,20
PCG-QBSTARTER-TRAINING,,1,1,Training,,QB-BDL-STND,10
PCG-QB-ADDONS,,,,Add-Ons,,QB-COMPLETE,12
PCG-QB-MAINT,,,,Maintenance & Support,,QB-COMPLETE,40
PCG-QB-SERVICES,,,,Services,,QB-COMPLETE,30
PCG-QB-SOFTWARE,,,,Software,,QB-COMPLETE,10
PCG-QB-TRAINING,,,,Training,,QB-COMPLETE,20
QB-PCG-USAGE,,1,1,Consumption,,QB-COMPLETE,15
Computing,,,,Computing,,QB-QRack-750,1
Cooling,,2,1,Cooling,Computing,QB-QRack-750,2
GPUs,,,,GPUs,PCIe,QB-QRack-750,1
Hard Drives,,,,Hard Drives,Storage,QB-QRack-750,1
I/O,,,,I/O,PCIe,QB-QRack-750,2
Memory,,,,Memory,,QB-QRack-750,2
Networking,,,,Networking,PCIe,QB-QRack-750,3
PCIe,,,,PCIe,,QB-QRack-750,4
Power Supply,,,,Power Supply,,QB-QRack-750,5
Processor,,2,1,Processor,Computing,QB-QRack-750,1
Solid State Drives,,4,0,Solid State Drives,Storage,QB-QRack-750,2
Storage,,,,Storage,,QB-QRack-750,3
PCG-PROD-1000281857-STD,,,,Standard Components,,PROD-1000281857,1
PCG-PROD-1008704562-STD,,,,Standard Components,,PROD-1008704562,1
PCG-PROD-1046989797-STD,,,,Standard Components,,PROD-1046989797,1
PCG-PROD-1054187061-STD,,,,Standard Components,,PROD-1054187061,1
PCG-PROD-1066573967-STD,,,,Standard Components,,PROD-1066573967,1
PCG-PROD-1078575407-STD,,,,Standard Components,,PROD-1078575407,1
PCG-PROD-1128940216-STD,,,,Standard Components,,PROD-1128940216,1
PCG-PROD-1153963439-STD,,,,Standard Components,,PROD-1153963439,1
PCG-PROD-1160394163-STD,,,,Standard Components,,PROD-1160394163,1
PCG-PROD-1167731127-STD,,,,Standard Components,,PROD-1167731127,1
PCG-PROD-1202444971-STD,,,,Standard Components,,PROD-1202444971,1
PCG-PROD-1223537488-STD,,,,Standard Components,,PROD-1223537488,1
PCG-PROD-1232611253-STD,,,,Standard Components,,PROD-1232611253,1
PCG-PROD-1234105735-STD,,,,Standard Components,,PROD-1234105735,1
PCG-PROD-1289692484-STD,,,,Standard Components,,PROD-1289692484,1
PCG-PROD-1298719794-STD,,,,Standard Components,,PROD-1298719794,1
PCG-PROD-1324161108-STD,,,,Standard Components,,PROD-1324161108,1
PCG-PROD-1427074895-STD,,,,Standard Components,,PROD-1427074895,1
PCG-PROD-1448587501-STD,,,,Standard Components,,PROD-1448587501,1
PCG-PROD-1472536093-STD,,,,Standard Components,,PROD-1472536093,1
PCG-PROD-148835828-STD,,,,Standard Components,,PROD-148835828,1
PCG-PROD-1517433427-STD,,,,Standard Components,,PROD-1517433427,1
PCG-PROD-1533783581-STD,,,,Standard Components,,PROD-1533783581,1
PCG-PROD-1536519560-STD,,,,Standard Components,,PROD-1536519560,1
PCG-PROD-1547313492-STD,,,,Standard Components,,PROD-1547313492,1
PCG-PROD-1559036382-STD,,,,Standard Components,,PROD-1559036382,1
PCG-PROD-1563124993-STD,,,,Standard Components,,PROD-1563124993,1
PCG-PROD-1563341377-STD,,,,Standard Components,,PROD-1563341377,1
PCG-PROD-1576658789-STD,,,,Standard Components,,PROD-1576658789,1
PCG-PROD-1593141905-STD,,,,Standard Components,,PROD-1593141905,1
PCG-PROD-159863330-STD,,,,Standard Components,,PROD-159863330,1
PCG-PROD-1603627899-STD,,,,Standard Components,,PROD-1603627899,1
PCG-PROD-1609709205-STD,,,,Standard Components,,PROD-1609709205,1
PCG-PROD-1744092313-STD,,,,Standard Components,,PROD-1744092313,1
PCG-PROD-1766568232-STD,,,,Standard Components,,PROD-1766568232,1
PCG-PROD-1776230868-STD,,,,Standard Components,,PROD-1776230868,1
PCG-PROD-1803530052-STD,,,,Standard Components,,PROD-1803530052,1
PCG-PROD-1809409779-STD,,,,Standard Components,,PROD-1809409779,1
