$$AttributeBasedAdjRule.Name$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,AttributeAdjConditionsHash,AttributeBasedAdjRule.Name,AttributeCount,CurrencyIsoCode,EffectiveFrom,EffectiveTo,PriceAdjustmentSchedule.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;GBP,Override,7477,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,GBP,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;EUR,Override,8763.5,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,EUR,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;AUD,Override,14301.5,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,AUD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;CAD,Override,14090,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,CAD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;CHF,Override,8137.5,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,CHF,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;JPY,Override,1630866,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,JPY,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;GBP,Override,8972.5,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,GBP,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;EUR,Override,10516.5,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,EUR,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;AUD,Override,17161.5,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,AUD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;CAD,Override,16908,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,CAD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;CHF,Override,9765,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,CHF,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;JPY,Override,1957040,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,JPY,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;GBP,Override,11216,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,GBP,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
