$$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ParentProduct.StockKeepingUnit$RootBundle.StockKeepingUnit$ProductSellingModel.Name$ParentProductSellingModel.Name$RootProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Name,ParentProduct.StockKeepingUnit,ParentProductSellingModel.$$Name$SellingModelType,PriceAdjustmentSchedule.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,RootBundle.StockKeepingUnit,RootProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;GBP,Percentage,5,GBP,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;EUR,Percentage,5,EUR,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;AUD,Percentage,5,AUD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;CAD,Percentage,5,CAD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;CHF,Percentage,5,CHF,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;JPY,Percentage,5,JPY,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;GBP,Percentage,5,GBP,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;EUR,Percentage,5,EUR,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;AUD,Percentage,5,AUD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;CAD,Percentage,5,CAD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;CHF,Percentage,5,CHF,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;JPY,Percentage,5,JPY,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
