$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;QB-API;USD,224.19,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;GBP,167.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;EUR,196.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;AUD,320.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;CAD,316,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;CHF,182.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API;JPY,36562,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API-FLEX;USD,101.68,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;GBP,76,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;EUR,89,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;AUD,145.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;CAD,143.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;CHF,82.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-FLEX;JPY,16583,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-GOVT;USD,684.54,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-GOVT;GBP,512,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-GOVT;EUR,600,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-GOVT;AUD,979,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
