$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.Name,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;USD;2023-01-01T20:00:00.000+0000,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;GBP;2023-01-01T20:00:00.000+0000,Percentage,GBP,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;EUR;2023-01-01T20:00:00.000+0000,Percentage,EUR,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;AUD;2023-01-01T20:00:00.000+0000,Percentage,AUD,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;CAD;2023-01-01T20:00:00.000+0000,Percentage,CAD,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;CHF;2023-01-01T20:00:00.000+0000,Percentage,CHF,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;25;16;JPY;2023-01-01T20:00:00.000+0000,Percentage,JPY,2023-01-01T20:00:00.000+0000,,16,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;15;11;USD;2023-01-01T20:00:00.000+0000,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;15;11;GBP;2023-01-01T20:00:00.000+0000,Percentage,GBP,2023-01-01T20:00:00.000+0000,,11,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;15;11;EUR;2023-01-01T20:00:00.000+0000,Percentage,EUR,2023-01-01T20:00:00.000+0000,,11,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;15;11;AUD;2023-01-01T20:00:00.000+0000,Percentage,AUD,2023-01-01T20:00:00.000+0000,,11,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Price Adjustment Tier;QB-MSG-STRT;Term Annual;TermDefined;AdjustmentPercentage;15;11;CAD;2023-01-01T20:00:00.000+0000,Percentage,CAD,2023-01-01T20:00:00.000+0000,,11,Standard Price Adjustment Tier,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
