$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
QB-API;Evergreen Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2000
QB-API;Evergreen Monthly;GBP,GBP,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,1495.5
QB-API;Evergreen Monthly;EUR,EUR,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,1752.5
QB-API;Evergreen Monthly;AUD,AUD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2860.5
QB-API;Evergreen Monthly;CAD,CAD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2818
QB-API;Evergreen Monthly;CHF,CHF,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,1627.5
QB-API;Evergreen Monthly;JPY,JPY,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,326173
QB-API;Term Annual;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,15000
QB-API;Term Annual;GBP,GBP,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,11216
QB-API;Term Annual;EUR,EUR,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,13145.5
QB-API;Term Annual;AUD,AUD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,21452
QB-API;Term Annual;CAD,CAD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,21135
QB-API;Term Annual;CHF,CHF,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,12206.5
QB-API;Term Annual;JPY,JPY,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,2446300
QB-API;Term Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1500
QB-API;Term Monthly;GBP,GBP,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1121.5
QB-API;Term Monthly;EUR,EUR,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1314.5
QB-API;Term Monthly;AUD,AUD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,2145
QB-API;Term Monthly;CAD,CAD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,2113.5
QB-API;Term Monthly;CHF,CHF,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1220.5
QB-API;Term Monthly;JPY,JPY,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,244630
QB-API-FLEX;Term Annual;USD,USD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,450
QB-API-FLEX;Term Annual;GBP,GBP,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,336.5
QB-API-FLEX;Term Annual;EUR,EUR,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,394.5
QB-API-FLEX;Term Annual;AUD,AUD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,643.5
QB-API-FLEX;Term Annual;CAD,CAD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,634
QB-API-FLEX;Term Annual;CHF,CHF,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,366
QB-API-FLEX;Term Annual;JPY,JPY,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,73389
QB-API-GOVT;Term Annual;USD,USD,true,false,Additional API Gov,Standard Price Book;true,QB-API-GOVT,Term Annual;TermDefined,1450
