$$Pricebook.Name$PricebookEntry.Product2.StockKeepingUnit$PricebookEntry.ProductSellingModel.Name$Product.StockKeepingUnit$ContributingProduct.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,ContributingProduct.StockKeepingUnit,CurrencyIsoCode,DerivedPricingScope,EffectiveFrom,EffectiveTo,Formula,Pricebook.$$Name$IsStandard,PricebookEntry.$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,PricingSource,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;USD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;GBP,QB-API,GBP,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;GBP,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;EUR,QB-API,EUR,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;EUR,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;AUD,QB-API,AUD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;AUD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;CAD,QB-API,CAD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;CAD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;CHF,QB-API,CHF,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;CHF,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API;Term Annual;JPY,QB-API,JPY,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;JPY,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;USD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;GBP,QB-API-MGMT,GBP,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;GBP,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;EUR,QB-API-MGMT,EUR,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;EUR,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;AUD,QB-API-MGMT,AUD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;AUD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;CAD,QB-API-MGMT,CAD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;CAD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;CHF,QB-API-MGMT,CHF,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;CHF,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;QB-SUPP-2000;Term Annual;QB-SUPP-2000;QB-API-MGMT;Term Annual;JPY,QB-API-MGMT,JPY,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,QB-SUPP-2000;Term Annual;JPY,Product,QB-SUPP-2000,Term Annual;TermDefined
