$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,DefaultUnitOfMeasure.Name,DefaultUnitOfMeasureClass.Name,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit,ProductSellingModel.Name,Rate,RateCard.$$Name$Type,RateNegotiation,RateUnitOfMeasure.Name,RateUnitOfMeasure.UnitCode,RateUnitOfMeasureClass.Name,Status,UsageResource.Code,UsageResource.Name
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;AUD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;CAD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;CHF,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;EUR,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;GBP,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;JPY,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-BND;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-CMT-TKN-BND;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-BND,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
