$$Product.StockKeepingUnit$UsageResource.Code,EffectiveEndDate,EffectiveStartDate,Product.StockKeepingUnit,Status,IsOptional,TokenResource.Code,UsageResource.Code
QB-DB;UR-DATASTORAGE,,2023-01-01T20:00:00.000+0000,QB-DB,Draft,false,,UR-DATASTORAGE
QB-DB;UR-CPUTIME,,2023-01-01T20:00:00.000+0000,QB-DB,Draft,false,,UR-CPUTIME
QB-DB;UR-DATAXFR,,2023-01-01T20:00:00.000+0000,QB-DB,Draft,false,,UR-DATAXFR
QB-DAT-THPT;UR-DATAXFR,,2023-01-01T20:00:00.000+0000,QB-DAT-THPT,Draft,false,,UR-DATAXFR
QB-TOKENS-PACK;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-TOKENS-PACK,Draft,false,,QB-TOKEN
QB-DB-TOKEN;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-DB-TOKEN,Draft,false,,QB-TOKEN
QB-DB-TOKEN;UR-DATASTORAGE-TKN,,2023-01-01T20:00:00.000+0000,QB-DB-TOKEN,Draft,false,,UR-DATASTORAGE-TKN
QB-DB-TOKEN;UR-CPUTIME-TKN,,2023-01-01T20:00:00.000+0000,QB-DB-TOKEN,Draft,false,,UR-CPUTIME-TKN
QB-CMT-TKN-EACH;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Draft,false,,QB-TOKEN
QB-CMT-TKN-EACH;UR-DATASTORAGE-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Draft,false,,UR-DATASTORAGE-TKN
QB-CMT-TKN-EACH;UR-CPUTIME-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Draft,false,,UR-CPUTIME-TKN
QB-CMT-TKN-FLAT;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Draft,false,,QB-TOKEN
QB-CMT-TKN-FLAT;UR-CPUTIME-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Draft,false,,UR-CPUTIME-TKN
QB-CMT-TKN-FLAT;UR-DATASTORAGE-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Draft,false,,UR-DATASTORAGE-TKN
QB-CMT-TKN-BND;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-BND,Draft,false,,QB-TOKEN
QB-CMT-TKN-BND;UR-CPUTIME-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-BND,Draft,false,,UR-CPUTIME-TKN
QB-CMT-TKN-BND;UR-DATASTORAGE-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-BND,Draft,false,,UR-DATASTORAGE-TKN
QB-CMT-TKN-TIER;QB-TOKEN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Draft,false,,QB-TOKEN
QB-CMT-TKN-TIER;UR-DATASTORAGE-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Draft,false,,UR-DATASTORAGE-TKN
QB-CMT-TKN-TIER;UR-CPUTIME-TKN,,2023-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Draft,false,,UR-CPUTIME-TKN
QB-QTY-CMT;UR-DATASTORAGE,,2023-01-01T20:00:00.000+0000,QB-QTY-CMT,Draft,false,,UR-DATASTORAGE
QB-QTY-CMT;UR-CPUTIME,,2023-01-01T20:00:00.000+0000,QB-QTY-CMT,Draft,false,,UR-CPUTIME
QB-MTY-CMT;UR-USD,,2023-01-01T20:00:00.000+0000,QB-MTY-CMT,Draft,false,,UR-USD
QB-MTY-CMT;UR-CPUTIME,,2023-01-01T20:00:00.000+0000,QB-MTY-CMT,Draft,false,,UR-CPUTIME
QB-MTY-CMT;UR-DATASTORAGE,,2023-01-01T20:00:00.000+0000,QB-MTY-CMT,Draft,false,,UR-DATASTORAGE
