ProductUsageResource.Product.StockKeepingUnit,ProductUsageResource.UsageResource.Code,RatingFrequencyPolicy.RatingPeriod,UsageAggregationPolicy.Code,UsageCommitmentPolicy.Name,UsageOveragePolicy.Name
QB-DB,UR-DATASTORAGE,Monthly,dailypeak,,Default Usage Overage Policy
QB-DB,UR-CPUTIME,Monthly,dailytotal,,Default Usage Overage Policy
QB-DB,UR-DATAXFR,Monthly,dailytotal,,Default Usage Overage Policy
QB-CMT-TKN-TIER,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-EACH,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-EACH,UR-CPUTIME-TKN,,,Lowest Rate,
QB-DB-TOKEN,UR-DATASTORAGE-TKN,Monthly,dailypeak,,Default Usage Overage Policy
QB-CMT-TKN-FLAT,UR-CPUTIME-TKN,,,Lowest Rate,
QB-CMT-TKN-FLAT,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-TIER,UR-CPUTIME-TKN,,,Lowest Rate,
QB-QTY-CMT,UR-DATASTORAGE,,,Lowest Rate,
QB-QTY-CMT,UR-CPUTIME,,,Lowest Rate,
QB-DB-TOKEN,QB-TOKEN,,,,Default Usage Overage Policy
QB-DB-TOKEN,UR-CPUTIME-TKN,Monthly,dailytotal,,Default Usage Overage Policy
QB-CMT-TKN-TIER,QB-TOKEN,,,Lowest Rate,
QB-CMT-TKN-FLAT,QB-TOKEN,,,Lowest Rate,
QB-CMT-TKN-BND,UR-CPUTIME-TKN,,,Bounded Object Rate,
QB-CMT-TKN-BND,UR-DATASTORAGE-TKN,,,Bounded Object Rate,
QB-CMT-TKN-BND,QB-TOKEN,,,Bounded Object Rate,
QB-CMT-TKN-EACH,QB-TOKEN,,,Lowest Rate,
QB-MTY-CMT,UR-USD,,,Lowest Rate,
QB-MTY-CMT,UR-CPUTIME,,,Lowest Rate,
QB-MTY-CMT,UR-DATASTORAGE,,,Lowest Rate,
