$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
CostBook;QB-API;JPY,109652,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API
CostBook;QB-API-FLEX;JPY,11824,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API-FLEX
CostBook;QB-API-GOVT;JPY,186215,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API-GOVT
CostBook;QB-API-PREP;JPY,66017,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API-PREP
CostBook;QB-API-PROD;JPY,476375,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API-PROD
CostBook;QB-API-REQT;JPY,689,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-API-REQT
CostBook;QB-AUT-CRED;JPY,276,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-AUT-CRED
CostBook;QB-BDL-R750;JPY,301927,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-BDL-R750
CostBook;QB-BDL-SRVC;JPY,0,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-BDL-SRVC
CostBook;QB-BDL-STND;JPY,0,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-BDL-STND
CostBook;QB-BET X710SFP;JPY,135912,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-BET X710SFP
CostBook;QB-CMPC-5882;JPY,14801,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-CMPC-5882
CostBook;QB-CMPC-5887;JPY,2594,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-CMPC-5887
CostBook;QB-COMPLETE;JPY,0,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-COMPLETE
CostBook;QB-CS;JPY,0,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-CS
CostBook;QB-DAT-GRPH;JPY,3274039,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-DAT-GRPH
CostBook;QB-DB;JPY,409661,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-DB
CostBook;QB-GEN-AI-LIC;JPY,7957,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-GEN-AI-LIC
CostBook;QB-HD 1TB;JPY,63022,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-HD 1TB
CostBook;QB-HD 4TB;JPY,25476,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-HD 4TB
CostBook;QB-HD 8TB;JPY,67385,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-HD 8TB
CostBook;QB-HD 8TBSE;JPY,25876,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-HD 8TBSE
CostBook;QB-INTEL E5-2609;JPY,125232,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-INTEL E5-2609
CostBook;QB-INTEL E5-2660;JPY,225693,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-INTEL E5-2660
CostBook;QB-INTEL E5-2667;JPY,278919,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-INTEL E5-2667
CostBook;QB-INTEL E5-2683;JPY,180098,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-INTEL E5-2683
CostBook;QB-MEM 16GB;JPY,29086,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-MEM 16GB
CostBook;QB-MEM 32GB;JPY,113610,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-MEM 32GB
CostBook;QB-MEM 8GB;JPY,41821,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-MEM 8GB
CostBook;QB-NET X710;JPY,49040,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-NET X710
CostBook;QB-SRV-OG-PSH;JPY,7904,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-SRV-OG-PSH
CostBook;QB-SRV-SOW;JPY,1976383,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-SRV-SOW
CostBook;QB-SUPP-1000;JPY,1657437,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-SUPP-1000
CostBook;QB-SUPP-1005;JPY,2180110,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-SUPP-1005
CostBook;QB-SUPP-2000;JPY,0,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-SUPP-2000
CostBook;QB-TRN-ESSNTLS;JPY,640169,CostBook,JPY,,2024-01-01T12:00:00.000+0000,,QB-TRN-ESSNTLS
