$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;WTR-ACC-BAT-49;WTR-DUO-END;WTR-PCG-BATTERIES;Bundle to Bundle Component Relationship,WTR-ACC-BAT-49,,BundleComponent,,false,false,false,true,99,0,WTR-DUO-END,Bundle,,WTR-PCG-BATTERIES,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-BAT-98;WTR-DUO-END;WTR-PCG-BATTERIES;Bundle to Bundle Component Relationship,WTR-ACC-BAT-98,,BundleComponent,,false,false,false,true,99,0,WTR-DUO-END,Bundle,,WTR-PCG-BATTERIES,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-ACC-BAT-148;WTR-DUO-END;WTR-PCG-BATTERIES;Bundle to Bundle Component Relationship,WTR-ACC-BAT-148,,BundleComponent,,false,false,false,true,99,0,WTR-DUO-END,Bundle,,WTR-PCG-BATTERIES,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-ACC-PAD-22;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-ACC-PAD-22,,BundleComponent,,false,false,false,true,99,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-PAD-DUO;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-ACC-PAD-DUO,,BundleComponent,,false,false,false,true,99,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-PAD-DRIVE;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-DRIVE,,BundleComponent,,false,false,true,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-PAD-RED;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-RED,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-PAD-BLUE;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-BLUE,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-PAD-GREEN;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-GREEN,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,60,
;WTR-PAD-BLACK;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-BLACK,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,70,
;WTR-PAD-FIBER;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-FIBER,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,80,
;WTR-PAD-MELAMIN;WTR-DUO-END;WTR-PCG-PADS;Bundle to Bundle Component Relationship,WTR-PAD-MELAMIN,,BundleComponent,,false,false,false,true,10,0,WTR-DUO-END,Bundle,,WTR-PCG-PADS,Bundle to Bundle Component Relationship,1,,Always,90,
;WTR-BRUSH-SN;WTR-DUO-END;WTR-PCG-BRUSHES;Bundle to Bundle Component Relationship,WTR-BRUSH-SN,,BundleComponent,,false,false,true,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-BRUSHES,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-BRUSH-SNW;WTR-DUO-END;WTR-PCG-BRUSHES;Bundle to Bundle Component Relationship,WTR-BRUSH-SNW,,BundleComponent,,false,false,false,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-BRUSHES,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-BRUSH-FIL;WTR-DUO-END;WTR-PCG-BRUSHES;Bundle to Bundle Component Relationship,WTR-BRUSH-FIL,,BundleComponent,,false,false,false,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-BRUSHES,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-SQ-REAR-NR;WTR-DUO-END;WTR-PCG-SQUEEGEES;Bundle to Bundle Component Relationship,WTR-SQ-REAR-NR,,BundleComponent,,false,false,true,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-SQUEEGEES,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-SQ-FRONT-NR;WTR-DUO-END;WTR-PCG-SQUEEGEES;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-NR,,BundleComponent,,false,false,true,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-SQUEEGEES,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-SQ-REAR-PUR;WTR-DUO-END;WTR-PCG-SQUEEGEES;Bundle to Bundle Component Relationship,WTR-SQ-REAR-PUR,,BundleComponent,,false,false,false,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-SQUEEGEES,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-SQ-FRONT-PUR;WTR-DUO-END;WTR-PCG-SQUEEGEES;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-PUR,,BundleComponent,,false,false,false,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-SQUEEGEES,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-SQ-FRONT-PUR-R;WTR-DUO-END;WTR-PCG-SQUEEGEES;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-PUR-R,,BundleComponent,,false,false,false,true,2,0,WTR-DUO-END,Bundle,,WTR-PCG-SQUEEGEES,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-ACC-HOSE;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-HOSE,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-TANK;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-TANK,,BundleComponent,,false,false,false,true,5,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-ACC-PLATFORM;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-PLATFORM,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-ACC-HOLDER;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-HOLDER,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-ACC-BALIT;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-BALIT,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-ACC-TELESCOP;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-TELESCOP,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,60,
;WTR-ACC-KIT;WTR-DUO-END;WTR-PCG-ACCESSORIES;Bundle to Bundle Component Relationship,WTR-ACC-KIT,,BundleComponent,,false,false,false,true,1,0,WTR-DUO-END,Bundle,,WTR-PCG-ACCESSORIES,Bundle to Bundle Component Relationship,1,,Always,70,
