$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
WTR-PAD-DRIVE;One-Time;CHF,CHF,true,false,Pad-Antriebsscheibe,Standard Price Book;true,WTR-PAD-DRIVE,One-Time;OneTime,49
WTR-PAD-DRIVE;One-Time;USD,USD,true,false,Pad-Antriebsscheibe,Standard Price Book;true,WTR-PAD-DRIVE,One-Time;OneTime,48
WTR-PAD-RED;One-Time;CHF,CHF,true,false,Scheuerpad rot,Standard Price Book;true,WTR-PAD-RED,One-Time;OneTime,20
WTR-PAD-RED;One-Time;USD,USD,true,false,Scheuerpad rot,Standard Price Book;true,WTR-PAD-RED,One-Time;OneTime,19
WTR-PAD-BLUE;One-Time;CHF,CHF,true,false,Scheuerpad blau,Standard Price Book;true,WTR-PAD-BLUE,One-Time;OneTime,20
WTR-PAD-BLUE;One-Time;USD,USD,true,false,Scheuerpad blau,Standard Price Book;true,WTR-PAD-BLUE,One-Time;OneTime,19
WTR-PAD-GREEN;One-Time;CHF,CHF,true,false,Scheuerpad gruen,Standard Price Book;true,WTR-PAD-GREEN,One-Time;OneTime,20
WTR-PAD-GREEN;One-Time;USD,USD,true,false,Scheuerpad gruen,Standard Price Book;true,WTR-PAD-GREEN,One-Time;OneTime,19
WTR-PAD-BLACK;One-Time;CHF,CHF,true,false,Scheuerpad schwarz,Standard Price Book;true,WTR-PAD-BLACK,One-Time;OneTime,24
WTR-PAD-BLACK;One-Time;USD,USD,true,false,Scheuerpad schwarz,Standard Price Book;true,WTR-PAD-BLACK,One-Time;OneTime,24
WTR-PAD-FIBER;One-Time;CHF,CHF,true,false,Microsol Faser-Pad,Standard Price Book;true,WTR-PAD-FIBER,One-Time;OneTime,30
WTR-PAD-FIBER;One-Time;USD,USD,true,false,Microsol Faser-Pad,Standard Price Book;true,WTR-PAD-FIBER,One-Time;OneTime,30
