BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
WTR-PC-MACHINE,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machines,true,true,false,Wetrok Duomatic Endurer,WTR-DUO-END,,,WTR-DUO-END,Bundle,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Batteries,true,true,false,Battery 49Ah,51449,,,WTR-ACC-BAT-49,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Batteries,true,true,false,Battery 98Ah,51498,,,WTR-ACC-BAT-98,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Batteries,true,true,false,Battery 148Ah,51548,,,WTR-ACC-BAT-148,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Pad 22 inch,52220,,,WTR-ACC-PAD-22,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Pad Duo,52221,,,WTR-ACC-PAD-DUO,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Pad-Antriebsscheibe,51457,,,WTR-PAD-DRIVE,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerpad rot,52626,,,WTR-PAD-RED,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerpad blau,52627,,,WTR-PAD-BLUE,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerpad gruen,52628,,,WTR-PAD-GREEN,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerpad schwarz,52629,,,WTR-PAD-BLACK,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Microsol Faser-Pad,52410,,,WTR-PAD-FIBER,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Melamin-Pad,52252,,,WTR-PAD-MELAMIN,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerbuerste Supernylon,51458,,,WTR-BRUSH-SN,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerbuerste Supernylon weich,51461,,,WTR-BRUSH-SNW,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Scheuerbuerste Filament,51193,,,WTR-BRUSH-FIL,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Arbeitslippe hinten 89 NR,64200,,,WTR-SQ-REAR-NR,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Dichtlippe vorne 89 NR,64201,,,WTR-SQ-FRONT-NR,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Arbeitslippe hinten 89 PUR,52099,,,WTR-SQ-REAR-PUR,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Dichtlippe vorne 89 PUR,52100,,,WTR-SQ-FRONT-PUR,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Dichtlippe vorne 89 PUR gerippt,52101,,,WTR-SQ-FRONT-PUR-R,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Universalfuellschlauch 3 m,51400,,,WTR-ACC-HOSE,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Chemiekanister 5 Liter,64139,,,WTR-ACC-TANK,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Multifunktionsplattform,51700,,,WTR-ACC-PLATFORM,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Halterung Teleskopstiel,51701,,,WTR-ACC-HOLDER,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Balit 560 mit Padsohle,80517,,,WTR-ACC-BALIT,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Teleskopstiel 99-183 cm,81413,,,WTR-ACC-TELESCOP,,
,false,Allowed,,/resource/wetrok_duomatic_50379_1,Cleaning Machine Accessories,true,true,false,Kit hochbestaendig Duomatic,69341,,,WTR-ACC-KIT,,
