$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
WTR-CAT-BATTERIES;WTR-ACC-BAT-49,WTR-CATALOG,true,WTR-ACC-BAT-49,WTR-CAT-BATTERIES
WTR-CAT-BATTERIES;WTR-ACC-BAT-98,WTR-CATALOG,true,WTR-ACC-BAT-98,WTR-CAT-BATTERIES
WTR-CAT-BATTERIES;WTR-ACC-BAT-148,WTR-CATALOG,true,WTR-ACC-BAT-148,WTR-CAT-BATTERIES
WTR-CAT-PAD-DISCS;WTR-ACC-PAD-22,WTR-CATALOG,true,WTR-ACC-PAD-22,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-ACC-PAD-DUO,WTR-CATALOG,true,WTR-ACC-PAD-DUO,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-DRIVE,WTR-CATALOG,true,WTR-PAD-DRIVE,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-RED,WTR-CATALOG,true,WTR-PAD-RED,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-BLUE,WTR-CATALOG,true,WTR-PAD-BLUE,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-GREEN,WTR-CATALOG,true,WTR-PAD-GREEN,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-BLACK,WTR-CATALOG,true,WTR-PAD-BLACK,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-FIBER,WTR-CATALOG,true,WTR-PAD-FIBER,WTR-CAT-PAD-DISCS
WTR-CAT-PAD-DISCS;WTR-PAD-MELAMIN,WTR-CATALOG,true,WTR-PAD-MELAMIN,WTR-CAT-PAD-DISCS
WTR-CAT-BRUSHES;WTR-BRUSH-SN,WTR-CATALOG,true,WTR-BRUSH-SN,WTR-CAT-BRUSHES
WTR-CAT-BRUSHES;WTR-BRUSH-SNW,WTR-CATALOG,true,WTR-BRUSH-SNW,WTR-CAT-BRUSHES
WTR-CAT-BRUSHES;WTR-BRUSH-FIL,WTR-CATALOG,true,WTR-BRUSH-FIL,WTR-CAT-BRUSHES
WTR-CAT-SQUEEGEES;WTR-SQ-REAR-NR,WTR-CATALOG,true,WTR-SQ-REAR-NR,WTR-CAT-SQUEEGEES
WTR-CAT-SQUEEGEES;WTR-SQ-FRONT-NR,WTR-CATALOG,true,WTR-SQ-FRONT-NR,WTR-CAT-SQUEEGEES
WTR-CAT-SQUEEGEES;WTR-SQ-REAR-PUR,WTR-CATALOG,true,WTR-SQ-REAR-PUR,WTR-CAT-SQUEEGEES
WTR-CAT-SQUEEGEES;WTR-SQ-FRONT-PUR,WTR-CATALOG,true,WTR-SQ-FRONT-PUR,WTR-CAT-SQUEEGEES
WTR-CAT-SQUEEGEES;WTR-SQ-FRONT-PUR-R,WTR-CATALOG,true,WTR-SQ-FRONT-PUR-R,WTR-CAT-SQUEEGEES
WTR-CAT-ACC-MISC;WTR-ACC-HOSE,WTR-CATALOG,true,WTR-ACC-HOSE,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-TANK,WTR-CATALOG,true,WTR-ACC-TANK,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-PLATFORM,WTR-CATALOG,true,WTR-ACC-PLATFORM,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-HOLDER,WTR-CATALOG,true,WTR-ACC-HOLDER,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-BALIT,WTR-CATALOG,true,WTR-ACC-BALIT,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-TELESCOP,WTR-CATALOG,true,WTR-ACC-TELESCOP,WTR-CAT-ACC-MISC
WTR-CAT-ACC-MISC;WTR-ACC-KIT,WTR-CATALOG,true,WTR-ACC-KIT,WTR-CAT-ACC-MISC
