$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;WTR-ACC-BAT-49;WTR-DUO-END-BDL;WTR-PCG-BATTERIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-BAT-49,,BundleComponent,,false,false,false,true,99,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BATTERIES-BDL,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-BAT-98;WTR-DUO-END-BDL;WTR-PCG-BATTERIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-BAT-98,,BundleComponent,,false,false,false,true,99,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BATTERIES-BDL,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-ACC-BAT-148;WTR-DUO-END-BDL;WTR-PCG-BATTERIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-BAT-148,,BundleComponent,,false,false,false,true,99,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BATTERIES-BDL,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-ACC-PAD-22;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-ACC-PAD-22,,BundleComponent,,false,false,false,true,99,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-PAD-DUO;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-ACC-PAD-DUO,,BundleComponent,,false,false,false,true,99,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-PAD-DRIVE;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-DRIVE,,BundleComponent,,false,false,true,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-PAD-RED;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-RED,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-PAD-BLUE;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-BLUE,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-PAD-GREEN;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-GREEN,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,60,
;WTR-PAD-BLACK;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-BLACK,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,70,
;WTR-PAD-FIBER;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-FIBER,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,80,
;WTR-PAD-MELAMIN;WTR-DUO-END-BDL;WTR-PCG-PADS-BDL;Bundle to Bundle Component Relationship,WTR-PAD-MELAMIN,,BundleComponent,,false,false,false,true,10,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-PADS-BDL,Bundle to Bundle Component Relationship,1,,Always,90,
;WTR-BRUSH-SN;WTR-DUO-END-BDL;WTR-PCG-BRUSHES-BDL;Bundle to Bundle Component Relationship,WTR-BRUSH-SN,,BundleComponent,,false,false,true,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BRUSHES-BDL,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-BRUSH-SNW;WTR-DUO-END-BDL;WTR-PCG-BRUSHES-BDL;Bundle to Bundle Component Relationship,WTR-BRUSH-SNW,,BundleComponent,,false,false,false,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BRUSHES-BDL,Bundle to Bundle Component Relationship,1,,Always,20,
