Catalog.Code,Code,Description,IsNavigational,Name,ParentCategory.Code,SortOrder
WTR-CATALOG,WTR-CAT-MACHINES,,true,Machines,,
WTR-CATALOG,WTR-CAT-CHEMICALS,,true,Chemicals,,
WTR-CATALOG,WTR-CAT-SCRUBBER-DRIERS,,true,Scrubber-Driers,WTR-CAT-MACHINES,
WTR-CATALOG,WTR-CAT-SINGLE-BRUSH,,true,Single-Brush Machines,WTR-CAT-MACHINES,
WTR-CATALOG,WTR-CAT-SMALL-SCRUB,,true,Small Scrubbing Machines,WTR-CAT-MACHINES,
WTR-CATALOG,WTR-CAT-SWEEPERS,,true,Sweepers,WTR-CAT-MACHINES,
WTR-CATALOG,WTR-CAT-VACUUM,,true,Vacuum Cleaners / Carpet Cleaners,WTR-CAT-MACHINES,
WTR-CATALOG,WTR-CAT-FLOOR-CLEANERS,,true,Floor Cleaners,WTR-CAT-CHEMICALS,
WTR-CATALOG,WTR-CAT-SANITARY,,true,Sanitary Cleaners,WTR-CAT-CHEMICALS,
WTR-CATALOG,WTR-CAT-CHEM-ACC,,true,Accessories,WTR-CAT-CHEMICALS,
WTR-CATALOG,WTR-CAT-SCRUBBER-DRYERS,,true,Scrubber-Dryers,WTR-CAT-SCRUBBER-DRIERS,
WTR-CATALOG,WTR-CAT-SCRUBBER-ACC,,true,Accessories for Scrubber-Dryers,WTR-CAT-SCRUBBER-DRIERS,
WTR-CATALOG,WTR-CAT-WET-DRY-VAC,,true,Wet and Dry Vacuum Cleaners,WTR-CAT-VACUUM,
WTR-CATALOG,WTR-CAT-BACKPACK-VAC,,true,Backpack Vacuum Cleaners,WTR-CAT-VACUUM,
WTR-CATALOG,WTR-CAT-INDUSTRIAL,,true,Industrial and Basic Cleaners,WTR-CAT-FLOOR-CLEANERS,
WTR-CATALOG,WTR-CAT-MAINTENANCE,,true,Maintenance Cleaners,WTR-CAT-SANITARY,
WTR-CATALOG,WTR-CAT-SPRAY-FOAM,,true,Spraying / Foaming Equipment,WTR-CAT-CHEM-ACC,
WTR-CATALOG,WTR-CAT-WASHROOM,,true,Washroom Hygiene Dispensers,WTR-CAT-CHEM-ACC,
WTR-CATALOG,WTR-CAT-DUO-ENDURER,,true,Duomatic Endurer,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DUO-ESPRIT,,true,Duomatic Esprit,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DUO-IMPULSE,,true,Duomatic Impulse,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DUO-INTENSE,,true,Duomatic Intense,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DRI-DELIGHT,,true,Drivematic Delight,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DRI-DELARGE,,true,Drivematic Delarge,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DRI-DELUXE,,true,Drivematic Deluxe,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DISC-BOLERO,,true,Discomatic Bolero,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-DISC-MAMBO,,true,Discomatic Mambo,WTR-CAT-SCRUBBER-DRYERS,
WTR-CATALOG,WTR-CAT-BATTERIES,,true,Batteries,WTR-CAT-SCRUBBER-ACC,
WTR-CATALOG,WTR-CAT-CHARGERS,,true,Chargers,WTR-CAT-SCRUBBER-ACC,
WTR-CATALOG,WTR-CAT-PAD-DISCS,,true,Pad Drive Discs,WTR-CAT-SCRUBBER-ACC,
WTR-CATALOG,WTR-CAT-MONO-DS,,true,Monomatic DS,WTR-CAT-SINGLE-BRUSH,
WTR-CATALOG,WTR-CAT-MONO-HS,,true,Monomatic HS,WTR-CAT-SINGLE-BRUSH,
WTR-CATALOG,WTR-CAT-MONO-I,,true,Monomatic I,WTR-CAT-SINGLE-BRUSH,
WTR-CATALOG,WTR-CAT-BRUSHBOY,,true,BrushBoy,WTR-CAT-SMALL-SCRUB,
WTR-CATALOG,WTR-CAT-MOTOR-BRUSH,,true,Motor Brusher,WTR-CAT-SMALL-SCRUB,
WTR-CATALOG,WTR-CAT-SPEED-TORNADO,,true,Speedmatic Tornado,WTR-CAT-SWEEPERS,
WTR-CATALOG,WTR-CAT-SPEED-TWISTER,,true,Speedmatic Twister,WTR-CAT-SWEEPERS,
WTR-CATALOG,WTR-CAT-DUROVAC-6,,true,Durovac 6,WTR-CAT-WET-DRY-VAC,
WTR-CATALOG,WTR-CAT-DUROVAC-11,,true,Durovac 11,WTR-CAT-WET-DRY-VAC,
WTR-CATALOG,WTR-CAT-EXTRAVAC-280,,true,Extravac 280,WTR-CAT-WET-DRY-VAC,
WTR-CATALOG,WTR-CAT-EXTRAVAC-340,,true,Extravac 340,WTR-CAT-WET-DRY-VAC,
WTR-CATALOG,WTR-CAT-MONO-COMFORT-6,,true,Monovac Comfort 6,WTR-CAT-BACKPACK-VAC,
WTR-CATALOG,WTR-CAT-MONO-COMFORT-11,,true,Monovac Comfort 11,WTR-CAT-BACKPACK-VAC,
WTR-CATALOG,WTR-CAT-FOAM-BOTTLES,,true,Foam Bottles / Dispensers,WTR-CAT-SPRAY-FOAM,
WTR-CATALOG,WTR-CAT-SPRAY-BOTTLES,,true,Spray Bottles,WTR-CAT-SPRAY-FOAM,
